generacion,libro,pagina,entidad,tipo,score
1962,1,1,México,LOC,0.9991849
1962,1,1,México,LOC,0.9149526
1962,1,1,Secretaria de Salubridad y Asistencia,ORG,0.9934986
1962,1,1,Libros de Texto Gratutto,MISC,0.9184222
1962,1,2,México,LOC,0.99375135
1962,1,2,México,LOC,0.99935275
1962,1,2,Porfirio Diaz,PER,0.9829155
1962,1,3,Maestro don Justo Sierra,PER,0.9340674
1962,1,3,Don Porfirio Diaz,PER,0.9961503
1962,1,4,Francisco I. Madero,PER,0.9717242
1962,1,4,] Presidente,PER,0.6730731
1962,1,4,don Francisco I. Ma,PER,0.93519
1962,1,4,dero,PER,0.9403653
1962,1,4,Re,MISC,0.99778855
1962,1,4,volucié,MISC,0.91123515
1962,1,4,Mexicana,MISC,0.82371306
1962,1,4,don Porfirio,PER,0.99059886
1962,1,4,Presidencia de la Repdblica,ORG,0.98564905
1962,1,4,Rev,MISC,0.5373341
1962,1,4,##olucién,ORG,0.71582323
1962,1,4,Estados,ORG,0.64081657
1962,1,4,Madero,PER,0.9725679
1962,1,5,Presidente,PER,0.7617397
1962,1,5,Vicepresidente,PER,0.72053397
1962,1,5,José Maria Pino Suarez,PER,0.99772364
1962,1,5,Mar,PER,0.94317776
1962,1,5,##tir de la Democracia,PER,0.9304449
1962,1,5,Don Francisco I. Madero,PER,0.9848071
1962,1,5,Por,PER,0.9993542
1962,1,5,##fi,PER,0.97229385
1962,1,5,rio Diaz,PER,0.9952221
1962,1,5,Revolucién Mexicana,MISC,0.965316
1962,1,5,Pres,MISC,0.7943967
1962,1,5,Reptblica,MISC,0.6486098
1962,1,5,Francisco I. Madero,PER,0.9637295
1962,1,5,Madero,PER,0.97045803
1962,1,5,Vice,PER,0.58262163
1962,1,5,Madero,PER,0.9871987
1962,1,6,Constitucién,MISC,0.83936095
1962,1,6,Presidente Madero,PER,0.99712425
1962,1,6,Don Venustiano Carranza,PER,0.99915695
1962,1,6,Revolucién,MISC,0.9632204
1962,1,6,Congreso de Que,ORG,0.80818635
1962,1,6,rétaro,LOC,0.8075136
1962,1,6,Cons,MISC,0.9973894
1962,1,6,titu,MISC,0.9258243
1962,1,6,don Venustiano Carranza,PER,0.9965256
1962,1,6,Constitucién,MISC,0.78396416
1962,1,6,Constitucié,MISC,0.8534367
1962,1,7,Don Venustiano Carranza,PER,0.9961883
1962,1,7,Revolucién,MISC,0.99318016
1962,1,7,Constitucién,MISC,0.8843374
1962,1,7,Constitucién,MISC,0.8596349
1962,1,7,México,LOC,0.99856454
1962,1,8,Revolucién Mexicana,MISC,0.9949067
1962,1,8,Porfirio Diaz,PER,0.9939939
1962,1,8,Artfculo 123,MISC,0.9590149
1962,1,8,Constitucién,MISC,0.8947835
1962,1,8,Seguro Social,MISC,0.9980676
1962,1,9,Tierra y Libertad,MISC,0.9850928
1962,1,9,Emiliano Zapata,PER,0.91927165
1962,1,9,Emi,PER,0.9989172
1962,1,9,##liano Zapata,PER,0.74525416
1962,1,9,Estado de More,ORG,0.6943891
1962,1,9,##los,LOC,0.71557534
1962,1,9,Tierra y Libertad,MISC,0.99391574
1962,1,9,EM,PER,0.9358015
1962,1,9,##IL,PER,0.83519113
1962,1,9,##IANO,MISC,0.5216871
1962,1,9,ZAPATA,PER,0.767189
1962,1,9,Revolucién,MISC,0.9976312
1962,1,10,Articulo 123,MISC,0.9965465
1962,1,10,Constitu,MISC,0.87465984
1962,1,10,Emiliano Zapata,PER,0.98014325
1962,1,10,Revolucién,MISC,0.99602926
1962,1,11,México,LOC,0.9629659
1962,1,11,México,LOC,0.99964476
1962,1,11,América,LOC,0.9987098
1962,1,11,Revolucién,MISC,0.87232953
1962,1,11,Presidente GUSTAVO DIAZ ORDAZ,PER,0.88984495
1962,1,11,Constitucional de la Reptiblica Me,MISC,0.70854455
1962,1,11,x,MISC,0.7686248
1962,1,11,Gustavo Diaz Ordaz,PER,0.9669445
1962,1,11,SALU,MISC,0.6672026
1962,1,11,México,LOC,0.99147195
1962,1,11,Centros de Alfabetiza,MISC,0.889571
