generacion,libro,pagina,entidad,tipo,score
2008,1,1,Por,MISC,0.9982535
2008,1,1,La criolla de la mantilla,MISC,0.99953336
2008,1,1,1917,LOC,0.74539286
2008,1,1,José Guadalupe Posada,PER,0.99866176
2008,1,1,Calavera Catrina,MISC,0.99131536
2008,1,1,LE,MISC,0.9726696
2008,1,1,##CC,MISC,0.8518963
2008,1,1,16,MISC,0.9250506
2008,1,2,México,LOC,0.9997241
2008,1,2,Juarez,PER,0.9988269
2008,1,2,Replica,MISC,0.8788172
2008,1,2,Maximiliano,PER,0.942867
2008,1,2,Republica Restaurada,MISC,0.9899788
2008,1,2,Juarez,PER,0.9990212
2008,1,2,Republi,MISC,0.991372
2008,1,2,ca,MISC,0.9700586
2008,1,2,Constituci6,MISC,0.9184101
2008,1,2,Benito J,PER,0.9987999
2008,1,2,Estado,ORG,0.9257048
2008,1,2,Juarez,PER,0.996349
2008,1,2,Sebastian Lerdo de Tejada,PER,0.99962085
2008,1,2,Sebasti,PER,0.9997775
2008,1,2,##én Lerdo de Tejada,PER,0.99956614
2008,1,2,Ciudad de México,LOC,0.99860686
2008,1,2,Veracruz,LOC,0.9997719
2008,1,2,México,LOC,0.99983144
2008,1,2,Veracruz,LOC,0.9997961
2008,1,3,Juarez,PER,0.9995382
2008,1,3,México,LOC,0.99797016
2008,1,3,Porfirio Diaz,PER,0.99040097
2008,1,3,Juarez,PER,0.99932194
2008,1,3,Republic,ORG,0.87154484
2008,1,3,##a,MISC,0.32791948
2008,1,3,Se,ORG,0.7018275
2008,1,3,bas,ORG,0.591931
2008,1,3,Lerdo de Tejada,PER,0.99664325
2008,1,3,Suprema Corte de Justicia,ORG,0.8218662
2008,1,3,Le,PER,0.9828675
2008,1,3,##rdo de Tejada,PER,0.96335524
2008,1,3,Diaz,PER,0.93631494
2008,1,3,Ins,MISC,0.9669963
2008,1,3,Mé,LOC,0.6298352
2008,1,3,Diaz,PER,0.8548265
2008,1,3,Diaz,PER,0.91298383
2008,1,3,Diaz,PER,0.799788
2008,1,3,Diaz,PER,0.86787
2008,1,4,Cholula,LOC,0.8208996
2008,1,5,Gaaghop,MISC,0.7885539
2008,1,5,Estados Unidos,ORG,0.9436271
2008,1,5,México,LOC,0.99948335
2008,1,5,Pa,MISC,0.88053596
2008,1,5,##is,MISC,0.31340152
2008,1,5,México,LOC,0.99968493
2008,1,7,PortirioDiax,PER,0.8145191
2008,1,7,*,MISC,0.646646
2008,1,7,Santa,LOC,0.5612898
2008,1,7,Manuel José,PER,0.99944043
2008,1,7,Lascas,MISC,0.988901
2008,1,7,##th,MISC,0.42868826
2008,1,7,Ferrocarril México,MISC,0.9756788
2008,1,7,Cuer,LOC,0.9657237
2008,1,7,##na,MISC,0.78004867
2008,1,7,##vaca,LOC,0.929559
2008,1,7,Federico Gamboa,PER,0.9991686
2008,1,7,Re,MISC,0.6537478
2008,1,7,©,MISC,0.4006957
2008,1,7,Gran Canal de Is de,MISC,0.8641132
2008,1,7,Salvador,LOC,0.4640678
2008,1,7,Ciudad de México,LOC,0.99854726
2008,1,7,Or,PER,0.9995722
2008,1,7,##ville,PER,0.94809663
2008,1,7,Por,PER,0.9996111
2008,1,7,##firio Diaz,PER,0.9917972
2008,1,7,Wilbur Wright,PER,0.9964653
2008,1,7,Rep,ORG,0.93756557
2008,1,7,##lica Cubana,ORG,0.77620524
2008,1,7,Diaz Mirén,PER,0.99705005
2008,1,8,Porfiriato,MISC,0.9195966
2008,1,8,Diaz,PER,0.9941969
2008,1,8,Organ,ORG,0.84667313
2008,1,8,##izacion del Partido Antirreeloccionis,ORG,0.8557416
2008,1,8,© Huelga de Rio,MISC,0.9954494
2008,1,8,Entr,MISC,0.95222443
2008,1,8,##ovista Blanco,MISC,0.8083505
2008,1,8,Veracruz,LOC,0.99540436
2008,1,8,Dia,LOC,0.6654838
2008,1,8,##z,PER,0.7307943
2008,1,8,Cree,ORG,0.79268545
2008,1,8,##lman,ORG,0.49202943
2008,1,8,Ateneo de la Hospital General,ORG,0.98530346
2008,1,8,Ciudad de México,LOC,0.9974547
2008,1,8,Teo,MISC,0.99902725
2008,1,8,##ria de la relatividad propuesta en,MISC,0.9218111
2008,1,8,Alemania,LOC,0.9949114
2008,1,8,* Madero,PER,0.99803656
2008,1,8,sucesi¢n,MISC,0.9684968
2008,1,8,Andrés Molina Enriquez,PER,0.9995044
2008,1,8,Los grandes por Albert Einstein,MISC,0.99791604
2008,1,9,LE,PER,0.5452293
2008,1,9,##CC,PER,0.70361996
2008,1,9,##IO,MISC,0.58250433
2008,1,9,17,MISC,0.5945741
2008,1,9,Morelos,LOC,0.7753086
2008,1,9,Hugo Brehme,PER,0.99955463
2008,1,10,Francisco I. Madero,PER,0.9989753
2008,1,10,orf,PER,0.885769
2008,1,10,##iri,PER,0.7879003
2008,1,10,##o,PER,0.97229
2008,1,10,Diaz,PER,0.994805
2008,1,10,México,LOC,0.99840206
2008,1,10,Madero,PER,0.9511149
2008,1,10,Porfirio Diaz,PER,0.99886334
2008,1,10,Partido Antirreeleccionista,ORG,0.999549
2008,1,10,Republica,ORG,0.5953964
2008,1,10,Plan de San Luis Potosi,MISC,0.9978851
2008,1,10,Diaz,PER,0.9818802
2008,1,10,México,LOC,0.9977708
2008,1,10,Madero,PER,0.91373444
2008,1,10,Francisco |. Madero,PER,0.99955446
2008,1,10,México,LOC,0.999793
2008,1,10,Mani,MISC,0.41383666
2008,1,10,Ciudad de México,LOC,0.999288
2008,1,10,Francisco I. Madero,PER,0.9991249
2008,1,10,* Celebracié,MISC,0.7918913
2008,1,10,Universidad d Centenario,MISC,0.82660186
2008,1,10,SN,MISC,0.5910258
2008,1,10,México,LOC,0.99383956
2008,1,11,Aquiles,PER,0.82201004
2008,1,11,Madero,PER,0.7516413
2008,1,11,Maximo Serdan,PER,0.9989015
2008,1,11,Porfirio Diaz,PER,0.9958189
2008,1,11,Pac,LOC,0.99769825
2008,1,11,##bla,LOC,0.880403
2008,1,12,Francisco |. Madero,PER,0.999619
2008,1,12,José Maria Pino Suarez,PER,0.9996384
2008,1,12,Madero,PER,0.9871607
2008,1,12,Porfirio Diaz,PER,0.9975282
2008,1,12,México,LOC,0.99968517
2008,1,12,In,MISC,0.9995389
2008,1,12,##just,MISC,0.71631974
2008,1,12,Madero,PER,0.8645036
2008,1,12,Zapata,PER,0.99010813
2008,1,12,More,LOC,0.9995528
2008,1,12,##los,LOC,0.68252
2008,1,12,Madero,PER,0.92073774
2008,1,12,Pascual Orozco,PER,0.9740605
2008,1,12,Chihuahua,LOC,0.8416577
2008,1,12,Madero,PER,0.98335767
2008,1,12,Orozco,PER,0.96710485
2008,1,12,Victoriano Huerta,PER,0.9995362
2008,1,12,México,LOC,0.99982554
2008,1,12,Por,PER,0.9889204
2008,1,12,##firio Diaz,PER,0.93963975
