generacion,libro,pagina,texto,prediccion
1960,3,1,"LA DICTADURA PORFIRIANA

XI. NO REELECCION Y REELECCION

Porfirio Diaz

Porfirio Diaz asumié de nuevo el poder el 1° de diciembre
de 1884.
1. Cuatro afios antes habia dicho al Congreso: “...Jamas

admitiré una candidatura de reelecci6n, aun cuando ésta no
fuera prohibida por nuestro Cédigo Politico...”

Pero, Presidente otra vez, no sostuvo aquellas palabras, ni jus-
-tificé el hecho de haber empufiado antes las armas contra la
reeleccién de Benito Juarez y la de Sebastian Lerdo de
Tejada. Al contrario, para mantenerse en la Presidencia hizo
que tres veces mas se reformara la Constitucién —en 1887, en
1890 y en 1903—, y asi fue Presidente, contando su primer pe-
riodo, por mas de treinta afos. Se hizo reelegir seis veces
ponsecutivas: en 1888, en 1892, en 1896, en 1900, en 1904 y
en 1910. j

2. Las reelecciones de Porfirio Diaz tuvieron muchas conse-
cuencias contrarias al adelanto polftico y social de México:

Primero, porque para lograr sus reelecciones, Diaz se convirtié
en dictador, esto es, en gobernante sdlo sujeto a su voluntad.

47",Conservadurismo
1960,3,2,"Segundo, porque Diaz dio a su dictadura, como fin casi tinico,
y a eso lo subordiné todo, el desarrollo material del pais.

Para lo primero se necesit6:

a). Que la voluntad nacional interesada en la gobernacién del
pais dejara de manifestarse y fuera sustituida por la voluntad
de Porfirio Diaz.

b), Que la designacién de las personas encargadas del ejercicio
de los poderes puiblicos se hiciera tomando en cuenta, no la nece-
sidad de que dichas personas representaran, en su conjunto, los
intereses colectivos, sino, principalmente, el interés politico del
régimen.

c). Que se reprimieran cuantas inquietudes ciudadanas pudie-
ryan estorbar la indiscutible autoridad con que Diaz gobernaba.

Para lo segundo, Diaz creyé indispensable:

a). Imponer la paz y el orden a todo trance; es decir, no la
paz y el orden que se fundan en el respeto al derecho ajeno, en
la aplicacién de la ley, en el imperio de la justicia, en la com-
prensi6n para las ideas de todos, en la actitud humana ante el
dolor de los necesitados, sino la paz y el orden que se obtienen
con procedimientos contrarios a todas esas fuentes del verda-
dero orden y la verdadera paz.

b). Contar con la colaboracién de los sectores sociales ricos
y con la afluencia de capitalistas extranjeros, a todos los cua-
les habia que tener satisfechos entregandoles la economia del
pais y dejandoles que aumentaran su riqueza y ensancharan sus
negocios, aunque ello fuera a costa de los pobres, y, muchas ve-
ces, mediante el despojo de los débiles.

De esa manera, durante mas de un cuarto de siglo, la inmensa
mayoria de los mexicanos se vio impedida de usar su voluntad
y sus justas aspiraciones en el encauzamiento politico v social
de su patria. Ni siquiera pudo hacerlo con su disconformidad o
Sus protestas, pues, sistematicamente, la dictadura las mantenfa
acalladas o las atajaba al primer brote. Bajo el dictador no hubo
mas libertad de prensa, o de palabra, o de reunion, que-la que
no pudiera danarlo. A los intelectuales disidentes se les persiguid,
se les encarcelé, se les oblig6 a expatriarse. A quienes osaron, en

148",Autoritarismo
1960,3,3,"el campo, en las minas, en Jas fabricas, luchar por sus derechos,
se les redujo convirtiéndolos en soldados, deportAndolos, o some-
tiéndolos con toda la violencia de las armas. A los mas deshere-
dados se les tuvo quietos y déciles bajo el poder espiritual del
clero catélico.

(Ejercicio nimero 57 del Cuaderno de Trabajo)

Lo que debes recordar sobre la no reeleccién y la reeleccién:

1. Porfirio Dfaz Megé a la Presidencia luchando por Ia no reeleceién,
pero luego se hizo reeleccionista para mantenerse en el poder, que desem-
pefié ininterrumpidamente desde 1884 hasta 1911 gracias a seis reelec-
ciones consecutivas,

2. El régimen reeleccionista de Porfirio Diaz tuvo muchas conse-
cuencias contrarias al adelanto polftico y social de México, porque, para
mantenerlo, Diaz se convirtié en dictador, es decir, en gobernante sélo
sujeto a su voluntad, y porque su dictadura se dedicé, casi tinicamente,
al desarrollo material del pais,

3. Bajo la dictadura de Porfirio Diaz desaparecieron los partidos polfticos
y el sufragio popular; la voluntad del dictador y su interés politico se sobre-
pusieron a Ja voluntad de la nacién y a log intereses de la gran mayoria de
los gobernados; se impusieron Ja paz y el orden, vulnerando, a menudo,
los derechos individuales, la ley, la equidad, la justicia; se reprimieron
todas las inquietudes ciudadanas; no hubo libertad de prensa; se permitid
que los sectores sociales ricos y los negociantes y capitalistas extranjeros
aumentaran su riqueza a costa de los pobres y, frecuentemente, con el des-
pojo de los débiles.

4. El régimen reeleccionista de Porfirio Diaz impidi6, durante mAs de un
cuarto de siglo, que la inmensa mayorfa de los mexicanos acudiera a encau-
zar los problemas de la Patria; a los intelectuales disconformes se les per-
siguié; a quienes osaban defender sus derechos en el campo, en las minas,
en las fabricas, se les castigaba o se les sometfa por medio de las armas; a

los mas desheredados los mantuvo quietos el poder espiritual del clero
catélico,",Conservadurismo
1960,3,4,"XII. PRINCIPALES ASPECTOS DE LA DICTADURA
PORFIRIANA

Ignacio Francisco Joaquin
Romero Rubio Mariscal Z. Mena Baranda

Aspecto politico

1, Aprovechando su experiencia militar y sus dotes para el
mando, Porfirio Diaz impuso la paz‘por medio de la fuerza
y logr6é mantener el orden durante cerca de treinta afios.

A ese largo perfodo de nuestra historia se le conoce con los
nombres de La dictadura porfiriana, El régimen porfiriano
o La paz porfiriana. Por esto tltimo, a Porfirio Diaz sus amigos
y partidarios le dieron el titulo de Héroe de la Paz.

Durante la dictadura de Porfirio Dfaz se abrieron las puertas
al capital extranjero, que muy pronto se aduefé de una gran
Parte de la riqueza nacional; se reorganizaron las finanzas publi-
cas y se mantuyo al ejército dentro de sus funciones propias,

Porfirio Diaz buscé y obtuvo el apoyo de los principales
politicos que habjan figurado en el partido de Juarez o en el de
Lerdo de Tejada. Vencié la resistencia de muchos de sus adver-
sarios, militares o civiles, dAndoles la oportunidad de enrique-
cerse.

Se entendié con los altos dignatarios del clero catélico por
medio de la llamada politica de conciliacién, que consistia en
permitir ciertas infracciones de las Leyes de Reforma a cambio
de que el poder espiritual de la Iglesia apoyara al régimen.

Procuré, en todo momento, ganar la amistad de los demas
paises, y consiguié que las relaciones internacionales de México
fueran amplisimas,

150",Conservadurismo
1960,3,5,"Aspecto econémico

Durante el gobierno de-Porfirio Diaz se desarrollaron en Méxi-
co inmensos latifundios, como el de la familia Terrazas en
Chihuahua.

Se otorgaron amplias concesiones y se dieron facilidades
excesivas al capital extranjero,

Nuestro pafs empez6 a desarrollar algunas industrias, aunque
en muchos casos con desproporcién en el beneficio para los in-
versionistas extranjeros,

El ministro de Hacienda, José Ives Limantour, logré equili-
brar los presupuestos del gobierno, cumplié los compromisos
contrafdos internacionalmente, y acumulé reservas para formar
el erario, 0 tesoro piblico. P

Se construyeron y completaron muchas Ifneas ferroviarias
importantes, entre ellas,totalmente,la de Veracruz al Istmo y
la de] Istmo de Tehuantepec que contribuyeron al desenvolvi-
miento comercial del pais.

Aspecto social

Durante el régimen porfirista, una clase social minoritaria
y dominante, goz6 de todos los honores, de las concesiones y de
los privilegios. La clase media alcanz6 algunas oportunidades y
pudo desenvolverse un poco; pero la gran mayorfa del pueblo
vivid en condiciones precarias y dolorosas. Las compa-
fiias deslindadoras extranjeras y los hacendados mexicanos
quitaban a los campesinos muchas de sus tierras y les impo-
nian excesivas jornadas de trabajo a cambio de jornales

161",Capitalismo
1960,3,6,"‘mfseros. Ademés, se obligaba a los trabajadores a comprar en las
tiendas de raya de modo que en ellas, como ocurrié durante
el virreinato, los campesinos contrajesen deudas que, de hecho,
los ponfan a merced del patrén.

En situacién andloga vivieron los trabajadores mexicanos
de las fabricas y las minas hasta que, guiados por algunos com-
pafieros inteligentes y heroicos, fueron organizandose paso a
paso, para defender sus derechos, y en los tiltimos anos de la
dictadura porfiriana se enfrentaron al gobierno con huelgas como
la de Cananea, en 1906, y la de Rio Blanco, en 1907. Estas
huelgas, duramente reprimidas, sefialaron en México el principio
de los esfuerzos por la liberacién de los trabajadores explotados.

Justo

A Ricardo
Sierra Gutiérrez Najera Castro

La paz publica que imperé en México durante los treinta afios
del régimen porfirista favorecié el desarrollo de las letras y
las artes e hizo posible que surgieran y brillaran poetas y escri-
tores muy notables. Mencionaremos algunos. Entre los poetas y
escritores: Ignacio M. Altamirano, Manuel Gutiérrez Najera,
dusto Sierra, Joaquin Arcadio Pagaza, Salvador Diaz Mi-
rén, José Maria Vigil, Rafael Angel de la Pefia, Alfredo Cha-
vero, Francisco del Paso y Troncoso, Manuel José Othon,
Victoriano Salado Alvarez, Amado Nervo, Luis G. Urbina;
entre los pintores y dibujantes, José Maria Velasco, Julio Rue-
las, José Guadalupe Posada; y entre los misicos, Juventino
Rosas, Ricardo Castro, Felipe Villanueva, Rafael J. Tello,

152",Capitalismo
1960,3,7,"José Maria ‘anuel M, ° Manuel José José Guadalupe
Velasco Ponce Othén Posada

Manuel M. Ponce, Julian Carrillo. Casi todos pertenecian a
la clase media y algunos habian empezado a sobresalir desde la
época de Sebastian Lerdo de Tejada, que era un extraordina-
rio orador y un espfritu amante de la cultura,

Aquel grupo de hombres de talento, que llevé el nombre de
México a todo el mundo de habla espafiola, habia seguido con
éxito el camino trazado por algunos intelectuales de la época de
la Reforma, como Manuel Orozco y Berra, Ignacio Ramirez,
Melchor Ocampo, Guillermo Prieto, Vicente Riva Palacio,
Gabino Barreda.

Por desgracia, el pueblo dificilmente podfa disfrutar de los be-
neficios de la cultura, ya que la ignorancia de las masas era tan
grande, que la mayoria de la poblacién no sabia leer ni escri-
bir. A pesar de Ja capacidad y generosa intencién de un educador
como el Maestro Justo Sierra, el progreso de la educacién po-
pular fue muy lento y dentro de sectores muy limitados. En las
esferas superiores de la educacién si pudieron realizarse dos gran-
des empenios de Justo Sierra: la creacién de la Escuela Nacio-
nal de Altos Estudios y el restablecimiento de la Universidad.

Por otra parte, el florecimiento intelectual no correspondia
siempre a impulsos nacionales, Se habia acentuado la influencia
europea, y, sobre todo, la de Francia. La mayor parte de los libros

153",Comunismo
1960,3,8,"que se lefan en México eran franceses, asf como las ideas que
estaban en boga. Los gustos que predominaban en todas las ra-
mas del arte, incluyendo la arquitectuta, ¥ hasta en las modas
del ¥estir y én los habitos sociales de las A os

privilegiadas,

Aspecto material

Como era de esperar por el sdlo transcurso de los afios, bajo
Porfirio Diaz, quien, ademfs, era buen administrador, se realiza-
ron muchas mejoras materiales dé importancia evidente:

Se hicieron grandes obras portuarias en Tampico, Vera-
cruz, Coatzacoalcos, Salina Cruz, Guaymas y Mazatlan.

Se doté de sistemas de riego a la region lagunera, que se
convirtié entonces en el centro nacional m4s importante para el
cultivo del algodén,

Se electrificaron varias regiones y construyeron plantas elée-
tricas, una, la de Necaxa, de potencia muy considerable.

Se establecié la fundicién de hierro y acero de Monterrey.

Se terminé el Canal del desagiie del Valle de México.

Se embellecié la capital de la Reptblica, en la cual se levan-
taron monumentos grandiosos, como el de la Independencia;
édificios como el de la Escuela Normal (hoy Colegio Militar),
el de Correos y el de Comunicaciones, y se inicié la construc-
cién del Palacio de las Bellas Artes y del Palacio Legis-
lativo. Esta filtima obra se interrumpié después, y la parte
construida se aproveché para erigir el Monumento a la Revo-
lucién. En la ciudad de México se crearon también, entre otras
instituciones, el Manicomio, la Penitenciaria, etcétera.

164",Capitalismo
1960,3,9,"Otras ciudadés, como Puebla, San Luis Potos{, Guadalajara,

Monterrey, Torreén, erecieron de manera apreciable, y algunos
Estados, como Guanajuato y Chihuahua, hicieron grandes obras

publicas.

(Ejercicio nimero 58 del Cuaderno de Trabajo)

Lo que debes recordar sobre los principales aspectos
de la dictadura porfiriana:

1. En el aspecto politico Porfirio Diaz logré atraerse a los restos de los
partidos juarista y lerdista; ahogé la libertad de prensa; no respeté las
garantias individuales; mantuvo relaciones de mutuo entendimiento con el
clero catélico, y procuré la ainistad de México con todos los paises.

2. En el aspecto econémico, el gobierno de Porfirio Diaz se caracterizé
por las facilidades excesivas otorgadas al capital extranjero} por el des-
arrollo de algunas industrias y por el fomento de determinadas vias de ¢o-
municacién. La Hacienda Pablica se nivelé y logré acumular reservas,

3. En el aspecto social, la dictadura favorecié a la clase adinerada, que
recibié todos los honores y privilegios; la clase media pudo desarrollarse
un poco, pero las clases humildes fueron despojadas, explotadas y
optimidas,

4, En el aspeoto cultural descollaron muchos hombres ilustrea que die-
ton prestigio a México, Se creé la Escuela Nacional de Altos Estudics
y se restablecié la Universidad. El progreso de la educacién popular fue
muy lento y dentro de sectores muy limitados.

5. En el aspecto material, se realizaron importantes obras portuarias
y se fomenté el crecimiento de nuestras ciudades principales, pero se des-
ciidé el campo, no se miré por el bienestar de los obreros, y las pobla-
ciones indigenas fueron olvidadas.",Autoritarismo
1960,3,10,"CAPITULO NOVENO
LA REVOLUCION MEXICANA

L REVOLUCION DE 1910

Después de soportar la prolongada dictadura ejercida por
el régimen del general Diaz, el pueblo sintié ansias'de un
orden social mas justo.

Si bien las elecciones habfan sido hasta allf una mera formula
ante la indiferencia del pueblo, al acercarse las de 1910 las cosas
cambiaron debido a varias circunstancias. La principal fue Ja
declaracién que Porfirio Dfaz hizo a un periodista norteamericano,
lamado Creelman, a quien dijo que consideraba a México madu-
ro para la democracia; que verfa con gusto la formacién de parti-
dos politicos, y que estaba dispuesto a sostener al candidato
elegido por Ia mayorfa de los mexicanos.

Un hombre valiente y de noble espfritu, Francisco I. Madero,
escribié una obra que en el acto se hizo célebre: La sucesion
presidencial, y se formaron diversos partidos, entre ellos uno
muy importante, el Antirreeleccionista.

Madero, que era el candidato visto con mayores simpatfas,
recorrié6 el pais y, con sus discursos, arrastr6 tras de sf al pue-
blo animandolo a ejercer los derechos efvicos en las elecciones
que se aproximaban. Su entusiasmo y la sinceridad con que ha-
blaba le atrajeron muchos partidarios; pero cuando ya se acer-
caba la fecha de las elecciones fue encarcelado.",Comunismo
