generacion,libro,pagina,texto,prediccion
1962,2,1,"LA DICTADURA PORFIRIANA
XI. NO REELECCION Y REELECCION

Porfirio Diaz habia Wegado a ta Presidencia luchando por la “no reeleccién""”

Porfirio Diaz asumié de nuevo el poder el 1’ de diciembre de
1884.

1. Cuatro afios antes habia dicho al Congreso: “... Jamas
admitiré una candidatura de reeleccién, aun cuando ésta no
fuera prohibida por nuestro Cédigo Politico...”

Pero, Presidente otra vez, no sostuvo aquellas palabras, ni
justificé el hecho de haber empufiado antes las armas contra la
reeleccién de Benito Juarez y la de Sebastian Lerdo de Tejada.
Al contrario, para mantenerse en la Presidencia hizo que tres
veces més se reformara la Constituci6n —en 1887, en 1890 y en
1903—, y asi fue Presidente, contando su primer periodo, por
mas de treinta anos. Se hizo reelegir seis veces consecutivas:
en 1888, en 1892, en 1896, en 1900, en 1904 y en 1910.

2. Las reelecciones de Porfirio Diaz tuvieron muchas conse-
cuencias contrarias al adelanto politico y social de México:

Primero, porque para lograr sus reelecciones, Diaz se convir-
tié en dictador, esto es, en gobernante sdlo sujeto a su voluntad.

147",Populismo
1962,2,2,"Segundo, porque Diaz dio a su dictadura, como fin casi Gnico,
y a eso lo subordiné todo, el desarrollo material del pais.

Para lo primero se necesité:

a). Que la voluntad nacional interesada en la gobernacién
del pais dejara de manifestarse y fuera sustituida por la volun-
tad de Porfirio Diaz. .

b). Que la designacién de las personas encargadas del ejerci-
cio de los poderes publicos se hiciera tomando en cuenta, no la
necesidad de que dichas personas representaran, en su conjunto,
los intereses colectivos, sino, principalmente, el interés politico
del régimen.

¢). Que se reprimieran cuantas inquietudes ciudadanas pu-
dieran estorbar la indiscutible autoridad con que Diaz gober-
naba.

Para lo segundo, Diaz creyé indispensable:

a). Imponer la paz y el orden a todo trance; es decir, no la
paz y el orden que se fundan en el respeto al derecho ajeno, en
la aplicacién de la ley, en el imperio de la justicia, en la com-
prensién para las ideas de todos, en la actitud humana ante el
dolor de los necesitados, sino la paz y el orden que se obtienen
con procedimientos contrarios a todas esas fuentes del verda-
dero orden y la verdadera paz.

b). Contar con la colaboracién de los sectores sociales ricos
y con la afluencia de capitalistas extranjeros, a todos los cua-
les habia que tener satisfechos entregandoles la economia del
pais y dejandoles que aumentaran su riqueza y ensancharan sus
negocios, aunque ello fuera a costa de los pobres, y, muchas ve-
ces, mediante el despojo de los débiles,

De esa manera, durante mas de un cuarto de siglo, la inmensa
mayoria de los mexicanos se vio impedida de usar su voluntad
y sus justas aspiraciones en el encauzamiento politico y social
de su patria. Ni siquiera pudo hacerlo con su disconformidad o
sus protestas, pues, sistematicamente, la dictadura las mantenia
acalladas o las atajaba al primer brote. Bajo el dictador no hubo
mas libertad de prensa, o de palabra, o de reunién, que la que

148",Autoritarismo
1962,2,3,"no pudiera dafiarlo. A los intelectuales disidentes se les persi-
guid, se les encarceld, se les obligé a expatriarse. A quienes osa-
ron, en el campo, en las minas, en las fabricas, luchar por sus
derechos, se les redujo convirtiéndolos en soldados, deportan-
dolos, o sometiéndolos con toda la violencia de las armas. A los
més desheredados se les tuvo quietos y déciles bajo el poder
espiritual del clero catélico.

(Ejercicio nimero 57 del Cuaderno de Trabajo)

Lo que debes recordar sobre la no reeleccién y la reeleccién:

1. Porfirio Diaz Ieg6 a la Presidencia luchando por la no reeleccién,
pero luego se hizo reeleccionista para mantenerse en el poder, que desem-
pefié ininterrumpidamente desde 1884 hasta 1911 gracias a seis
consecutivas.

2. El régimen reeleccionista de Porfirio Diaz tuvo muchas consecuencias
contrarias al adelanto politico y social de México, porque, para mantenerlo,
Diaz se convirtié en dictador, es decir, en gobernante sdlo sujeto a su volun-
tad, y porque su dictadura se dedicé, casi inicamente, al desarrollo material
del pais

3. Bajo la dictadura de Porfirio Diaz desaparecieron los partidos politi-
cos y el sufragio popular; la voluntad del dictador y su interés politico se
sobrepusieron a la voluntad de la nacién y a los intereses de la gran mayoria
de los gobernados; se impusieron la paz y el orden, vulnerando, a menudo, los
derechos individuales, la ley, la equidad, la justicia; se reprimieron todas
las inquietudes ciudadanas; no hubo libertad de prensa; se permitié que los
sectores sociales ricos y los negociantes y capitalistas extranjeros aumen-
taran su riqueza a costa de los pobres y, frecuentemente, con el despojo de
los débiles.

4. El régimen reeleccionista de Porfirio Diaz impidi6, durante mas de un
cuarto de siglo, que la inmensa mayoria de los mexicanos acudiera a encau-
zar los problemas de la Patria; a los intelectuales disconformes se les per-
siguié; a quienes osaban defender sus derechos en el campo, en las minas,
en las fabricas, se les castigaba o se les sometia por medio de las armas; a
los m4s desheredados los mantuvo quietos el poder espiritual del clero ca-
télico.

149",Conservadurismo
1962,2,4,"XII. PRINCIPALES ASPECTOS DE LA DICTADURA

Ignacio Francisco
Romero Rubio Mariscal Z. Mena

ASPECTO POLITICO

1, Aprovechando su experiencia militar y sus dotes para el
mando, Porfirio Diaz impuso la paz por medio de la fuerza y
logré mantener el orden durante cerca de treinta afios.

A ese largo periodo de nuestra historia se le conoce con los
nombres de La dictadura porfiriana, El régimen porfiriano o
La paz porfiriana, Por esto ultimo, a Porfirio Diaz sus amigos

y partidarios le dieron el titulo de Héroe de la Paz,

Durante la dictadura de Porfirio Diaz se abrieron las puertas
al capital extranjero, que muy pronto se aduefié de una gran
parte de la riqueza nacional; se reorganizaron las finanzas publi-
cas y se mantuvo al ejército dentro de sus funciones propias.

Porfirio Diaz buscé y obtuvo el apoyo de los principales po-
liticos que habian figurado en el partido de Judrez o en el de
Lerdo de Tejada. Vencié la resistencia de muchos de sus adver-
sarios, militares 0 civiles, dandoles la oportunidad de enrique-
cerse,

Se entendié con los altos dignatarios del clero catélico por
medio de la llamada politica de conciliacién, que consistia en
permitir ciertas infracciones de las Leyes de Reforma a cambio
de que el poder espiritual de la Iglesia apoyara al régimen,

Procuré, en todo momento, ganar la amistad de los demas
paises, y consiguié que las relaciones internacionales de México
fueran amplisimas,

150",Comunismo
1962,2,5,"ASPECTO ECONOMICO

Durante el gobierno de Porfirio Diaz se desarrollaron en Mé-
xico inmensos latifundios, como el de la familia Terrazas en
Chihuahua.

Se otorgaron amplias concesiones y se dieron facilidades ex-
cesivas al capital extranjero.

Nuestro pais empez6 a desarrollar algunas industrias, aunque
en muchos casos con desproporcién en el beneficio para los in-
versionistas extranjeros.

El ministro de Hacienda, José Ives Limantour, logré equili-
brar los presupuestos del gobierno, cumplié los compromisos
contraidos internacionalmente, y acumulé reservas para formar
el erario, o tesoro publico.

Se construyeron y completaron muchas lineas ferroviarias
importantes, entre ellas totalmente la de Veracruz al Istmo y
la del Istmo de Tehuantepec que contribuyeron al desenvolvi-
miento comercial del pais.

—
a

Se ae facilidades excesivas al capital extranjero
ASPECTO SOCIAL

Durante el régimen porfirista, una clase social minoritaria
y dominante goz6 de todos los honores, de las concesiones y de
los privilegios. La clase media alcanzé algunas oportunidades y
pudo desenvolverse un poco; pero la gran mayoria del pueblo
vivid en condiciones precarias y dolorosas. Las companias des-
lindadoras extranjeras y los hacendados mexicanos quitaban a
los campesinos muchas de sus tierras y les imponian excesivas

151",Neoliberalismo
1962,2,6,"jornadas de trabajo a cambio de jornales miseros, Ademas, se
obligaba a los trabajadores a comprar en las tiendas de raya
de modo que en ellas, como ocurrié durante el virreinato, los
campesinos contrajesen deudas que, de hecho, los ponian a mer-
ced del patrén.

En situacién andloga vivieron los trabajadores mexicanos
de las fabricas y las minas hasta que, guiados por algunos com-
pafieros inteligentes y heroicos, fueron organizandose, paso a
paso, para defender sus derechos, y en los Ultimos afios de la
dictadura porfiriana se enfrentaron al Gobierno con huelgas
como la de Cananea, en 1906, y la de Rio Blanco, en 1907. Estas
huelgas, duramente reprimidas, sefialaron en México el princi-
pio de los esfuerzos por la liberacién de los trabajadores explo-
tados.

ASPECTO CULTURAL

La paz publica que imperé en México durante los treinta afios
del régimen porfirista favorecié el desarrollo de las letras y las
artes e hizo posible que surgieran y brillaran poetas y escritores
muy notables. Mencionaremos algunos, Entre los poetas y escri-
tores: Ignacio M. Altamirano, Manuel Gutiérrez Najera, Justo
Sierra, Joaquin Arcadio Pagaza, Salvador Diaz Mirén, José
Maria Vigil, Rafael Angel de la Pefia, Alfredo Chavero, Fran-
cisco del Paso y Troncoso, Manuel José Othon, Victoriano Sala-
do Alvarez, Amado Nervo, Luis G. Urbina; entre los pintores y
dibujantes, José Marfa Velasco, Julio Ruelas, José Guadalupe
Posada; y entre los musicos, Juventino Rosas, Ricardo Castro,

152",Capitalismo
1962,2,7,"Be

José Maria Manuel M. Manuel José José Guadalupe
Velasco Ponce Othén Posada

Felipe Villanueva, Rafael J. Tello, Manuel M. Ponce, Julian
Carrillo. Casi todos pertenecian a la clase media y algunos ha-
bian empezado a sobresalir desde la época de Sebastian Lerdo
de Tejada, que era un extraordinario orador y un espiritu aman-
te de la cultura.

Aquel grupo de hombres de talento, que llevé el nombre de
México a todo el mundo de habla espafiola, habia seguido con
éxito el camino trazado por algunos intelectuales de la época de
la Reforma, como Manuel Orozco y Berra, Ignacio Ramirez,
Melchor Ocampo, Guillermo Prieto, Vicente Riva Palacio, Ga-
bino Barreda.

Por desgracia, el pueblo dificilmente podia disfrutar de los
beneficios de la cultura, ya que la ignorancia de las masas era
tan grande, que la mayoria de la poblacién no sabia leer ni es-
cribir. A pesar de la capacidad y generosa intencién de un edu-
cador como el Maestro Justo Sierra, el progreso de la educacién
popular fue muy lento y dentro de sectores muy limitados. En
las esferas superiores de la educaci6n si pudieron realizarse dos
grandes empefios de Justo Sierra: la creacién de la Escuela Na-
cional de Altos Estudios y el restablecimiento de la Univer-
sidad.

Por otra parte, el florecimiento intelectual no correspondia
siempre a impulsos nacionales. Se habia acentuado la influen-
cia europea, y, sobre todo, la de Francia. La mayor parte de los
libros que se leian en México eran franceses, y se aceptaban las

153",Comunismo
1962,2,8,"ideas europeas que estaban en boga. Los gustos que predomina-
ban en todas las ramas del arte, incluyendo la arquitectura, y
hasta en las modas del vestir y en los habitos sociales de las
clases privilegiadas, eran de origen francés.

ASPECTO MATERIAL

Se realizaron muchas mejoras materiales de importancia evidente

Como era de esperar por el sélo transcurso de los afios, bajo
Porfirio Diaz, quien, ademés, era buen administrador, se reali-
zaron muchas mejoras materiales de importancia evidente:

Se hicieron grandes obras portuarias en Tampico, Veracruz,
Coatzacoalcos, Salina Cruz, Guaymas y Mazatlan.

Se doté de sistemas de riego a la regién lagunera, que se
convirtié entonces en el centro nacional més importante para el
cultivo del algodén.

Se electrificaron varias regiones y construyeron plantas eléc-
tricas, una, la de Necaxa, de potencia muy considerable.

Se establecié la fundicién de hierro y acero de Monterrey.

Se terminé el Canal del desagiie del Valle de México,

Se embellecié la capital de la Republica, en la cual se levan-
taron monumentos grandiosos, como el de la Independencia;
edificios como el de la Escuela Normal (hoy Colegio Militar),
el de Correos y el de Comunicaciones, y se inicié la construc-
cién del Palacio de las Bellas Artes y del Palacio Legislativo.
Esta ultima obra se interrumpié después, y la parte construida
se aproveché para erigir el Monumento a la Revolucién. En
la ciudad de México se crearon también, entre otras institucio-
nes, el Manicomio, la Penitenciaria, etcétera.

154",Capitalismo
1962,2,9,"Otras ciudades, como Puebla, San Luis Potosi, Guadalajara,
Monterrey, Torreén, crecieron de manera apreciable, y algunos
Estados, como Guanajuato y Chihuahua, hicieron grandes obras
publicas,

(Ejercicio nimero 58 del Cuaderno de Trabajo)

Lo que debes recordar sobre los principales aspectos
de la dictadura porfiriana:

1. En el aspecto politico Porfirio Diaz logré atraerse a los restos de los
partidos juarista y lerdista; ahogé la libertad de prensa; no respeté las ga-
rantias individuales; mantuvo relaciones de mutuo entendimiento con el
clero catélico, y procuré la amistad de México con todos los paises.

2. En el aspecto econémico, el gobierno de Porfirio Diaz se caracterizé
por las facilidades excesivas otorgadas al capital extranjero; por el des-
arrollo de algunas industrias y por el fomento de determinadas vias de co-
municacién. La Hacienda Publica se nivelé y logré acumular reservas.

3. En el aspecto social, la dictadura favorecié a la clase adinerada, que
recibié todos los honores y privilegios; la clase media pudo desarrollarse
un poco, pero las clases humildes fueron despojadas, explotadas y oprimidas.

4, En el aspecto cultural descollaron muchos hombres ilustres que die-
ron prestigio a México. Se creé la Escuela Nacional de Altos Estudios y se
restablecié la Universidad. El progreso de la educacién popular fue muy len-
to y dentro de sectores muy limitados.

5. En el aspecto material, se realizaron importantes obras portuarias
y se fomenté el crecimiento de nuestras ciudades principales, pero se des-
cuidé el campo, no se miré por el bienestar de los obreros, y las poblaciones

Se creé la Escuela Nacional de Altos Estudios",Autoritarismo
1962,2,10,"CAPITULO NOVENO
LA REVOLUCION MEXICANA

I. REVOLUCION DE 1910

Después de soportar la prolongada dictadura ejercida por el
régimen del general Diaz, el pueblo sintié ansias de un orden
social mas justo.

Si bien las elecciones habian sido hasta alli una mera férmula
ante la indiferencia del pueblo, al acercarse las de 1910 las cosas
cambiaron debido a varias circunstancias. La principal fue la
declaracién que Porfirio Diaz hizo a un periodista norteamerica-
no, llamado Creelman, a quien dijo que consideraba a México
maduro para la democracia; que veria con gusto la formacién
de partidos politicos, y que estaba dispuesto a sostener al candi-
dato elegido por la mayoria de los mexicanos.

Un hombre valiente y de noble espiritu, Francisco I. Madero,
escribié una obra que en el acto se hizo célebre: La sucesion pre-
sidencial, y se formaron diversos partidos, entre ellos uno muy
importante, el Antirreeleccionista.

Madero, que era el candidato visto con mayores simpatias,
recorrié el pafs y, con sus discursos, arrastré tras de si al pue-
blo animéndolo a ejercer los derechos civicos en las elecciones
que se aproximaban. Su entusiasmo y la sinceridad con que ha-
blaba le atrajeron muchos partidarios; pero cuando ya se acer-
caba la fecha de las elecciones fue encarcelado.

156",Autoritarismo
