generacion,libro,pagina,texto,prediccion
2019,1,1,,Populismo
2019,1,3,"+ ee
} et - _ A
fee gh =
o_o
4
¢ , :
' .
~
‘yy P,
i 5 =
\
Dd .
Del porfirismo ala Revoliicion, 1957-1966, mural. de David
Alfaro Siquelros,'Museo Nacional de Historia.
.",Capitalismo
2019,1,5,"BLOQUE Ill

Panorama del periodo

Ubicacion temporal y espacial de los
principales acontecimientos durante
el Porfiriato y la Revolucion Mexicana

Entre 1870 y 1920, nuestro pais vivid cambios muy importantes.
Con la llegada de Porfirio Diaz a la presidencia se inicié la recupe-
racién de la economia y la reconciliacién entre los grupos que hasta
entonces se disputaban el poder; con nuevos préstamos se restruc-
turé la deuda externa y otros paises invirtieron en México.

Sin embargo, gran parte de la poblacién continué viviendo en la
miseria, sometida a trabajos excesivos y con poca paga, lo cual pro-
dujo descontento. Para mantener el orden, Porfirio Diaz establecid
un gobierno autoritario: reprimié duramente a quienes no estaban
de acuerdo con él, limité la libertad de expresién y se mantuvo en
la presidencia por mas de 30 afios, negandose a efectuar elecciones
libres.

En este bloque estudiaras las caracteristicas de ese gobierno y el
estallido de la Revolucién Mexicana, la cual condujo a la redaccién
de una nueva constitucién que planted soluciones a muchos de los
problemas del pais.

Hr°
ie] PARA INICIAR

Observa con atenci6n la imagen que ilustra la entrada del
bloque III y contesta las siguientes preguntas.

™@ <De qué trata la imagen?

™ ~Quiénes participan y a qué grupo social pertenecen?

™ ~Como crees que se sienten las personas que estan ahi?
éPor qué?

™® {Qué periodos histdéricos representa la imagen?",Neoliberalismo
2019,1,7,"Porfirio Diaz (1830-1915), José Cusachs.",Comunismo
2019,1,9,"BLOQUE Il

@ CUANDO Y DONDE PASO

1. Observa la linea del tiempo y responde.

® ,.Cuantas décadas duré el Porfiriato?

® ~Cuanto tiempo goberné Francisco |. Madero?

® Identifica en qué siglos se desarrollaron los siguientes
- Construccién del ferrocarril México-Paso del Norte.
- Francisco |. Madero es elegido presidente de México.
- Promulgacién de la Constitucién de 1917.
- Inicio de la explotacién de! petrdleo.

2. Observa el mapa histérico para responder las siguientes pre-
guntas.

® ~En qué regiones o entidades hubo influencia de los caudi-
llos Alvaro Obregon, Francisco Villa, Pablo Gonzalez y Emi-

liano Zapata?
® ~Doénde ocurrieron los siguientes hechos histéricos?
- Muerte de Zapata
- La Decena Tragica
~ Muerte de Carranza
m@ zEn qué estados hubo brotes revolucionarios?
®@ De qué entidad partié Porfirio Diaz rumbo a Francia?

- Se inicia la explotacién
il Mexi lel petrolera por la Mexi
Norte (hoy Ciudad Juérez) pce ee Ee Mens

1875 1880 1885 1890 1895

Presidencia de Porfirio Diaz,
dictadura (1884-1911)",Comunismo
2019,1,11,"n Mex’

Revolu

— 40, Cludad Juarez,
“Wgtado 1911

CAN

Estapos Unipos

Océano Pacifico

Simbologla Querétaro,

‘Campahas del Ejército Constitucionalista ‘Constituci6n 1917,
Campatia del Ejército det Noroeste f
DD firaro obregén

ee ee ern: 7 Veracruz, exillo de
FrandscoVilla México, DecenaTragica: mueren. © Porfirio Diaz, 1911
= ‘Campatia del Ejército delNoreste | Madero y Pino Suarez, 1913

Pablo Gonzalez 2 & 1912
Campatia det Ejército Libertador de Sur Chinameca, Morelos ‘Tlaxcalantongd, 7

muere Zapata, 1919

Escala 1:23 263 000 Plan de Ayala, 1911
o 300, 600 km. 5

_—— bs
OF

TD emitisno Zapata
90 sacsnié weporiinnss
Brotes revolucionarios

© Hechos notables

muere Carranza, 1920

Golfo de México

1920

qropico de Cancer 23°27""

Mar Caribe

fe ~(Beuice

/Guatemara”
Honpuras
Bit rane

15""

‘

Huerta presidente,

a
ae la evolucién Mexicana, 1910
eis de OBOE en Rio

“1911-1913

Blanco, Veracruz, 1907
' 1 ' 1
Huelga de obreros en

Invasi6n y ataque
estadounidense al
de Veracruz, 1914

1913-1914

Derrota de Villa
fen Celaya, 1915

Puerto

Cananea, Sonora, 1906
eal toe Villa toma Zacatecas, 1914

| ( | |

Zapata proclama el Plan de Ayala, 1911

wT) i.

banda del autom

1900 1905 1910 1915

Lucha armada

Constitucién
de 1917

Carranza

presidente,
1917-1920

| '
Pelicula muda mexicana La

}Ovil gris, 1919

1920",Nacionalismo
2019,1,13,"BLOQUE Ill

Temas para comprender el periodo

sPor qué surgié la Revolucion
Mexicana?

oF
JA PARA OBSERVADORES

1. Con el titulo “Mi respuesta inicial”, escribe en tu cuaderno la pre-
gunta que aparece arriba.

2. Observa la secuencia de imagenes de estas dos paginas. 4Qué
escribirias como posible respuesta para esa pregunta?

3. Conforme estudies este bloque, registra la informacién nueva
que encuentres en cada tema y que esté relacionada con esta
pregunta.

4. Alterminar el bloque III, completa el esquema de la seccién Lo que
aprendi y utiliza la informacién que registraste en tu cuaderno.

Caricatura “A rey muerto, principe Obreras en Rio Blanco, Veracruz.
coronado”.",Populismo
2019,1,15,"&
a LEO Y COMPRENDO

Después de estudiar cada tema para comprender el periodo, ela-
bora en tu cuaderno un esquema como el siguiente y responde las
preguntas, segtin se presente la informaci6n en tu libro.

Cuando y donde
ocurri6?

Hacienda henequenera en Yucatan.

£Quiénes
participaron?

lS . waa
fons bic ion (ole ica,
»

a fos
Mericanos

a
| eee
Portada de la Constitucién
Politica de 1917.",Socialismo
2019,1,17,"BLOQUE Ill

Las diferencias politicas entre los liberales
y la consolidacion de la dictadura de
Porfirio Diaz

Como recordards, durante la primera mitad del siglo x1x hubo
varios conflictos entre liberales y conservadores. Entre
los liberales que derrotaron al ejército francés también sur-
gieron diferencias. Asi, se formaron dos grupos: los civi-
les que acompafiaron a Benito Juarez desde la guerra de
Reforma, y los militares que adquirieron prestigio durante
la Intervencién francesa y eran encabezados por Porfirio
Diaz. Estos ultimos eran mas jévenes y tuvieron una vi-
sién distinta sobre cémo aplicar las reformas liberales.
Por ejemplo, buscaban mejorar la relacién con la Iglesia
e impulsaron la reorganizacion de la economia nacional y
las instituciones de gobierno.

Con el triunfo de la Republica, en 1867, Juarez volvié a ser
elegido presidente por un periodo de cuatro afios; con ello se
prolongé el mandato que ejercia desde 1858. En 1871, Juarez
se postulé de nuevo para la presidencia; sus contendientes fueron
Benito Juarez (1806-1872). Sebastian Lerdo de Tejada y Porfirio Diaz. Juarez triunfo en las elec-
ciones y como repudio a ese triunfo, Diaz proclamé el Plan de
La Noria, en el que exigia la no reeleccién y hacia un llamado
a desconocer al gobierno. Aunque Diaz tuvo seguidores, la revuelta
no se extendid, pues meses mas tarde murié Juarez. Ante este suce-
so, Sebastian Lerdo de Tejada, presidente de la Suprema Corte de
Justicia, asumid la presidencia de la Republica de forma interina y
convocé a nuevas elecciones, en las cuales resulté ganador.

Lerdo de Tejada fue presidente de 1872 a 1876; durante su man-
dato se enfrenté a la Iglesia porque aplicé con rigidez las Leyes de
Reforma. Asimismo, impulsé el federalismo, la separacién y el equi-
librio de los tres poderes, la participacién publica mediante el voto y
el respeto a los derechos civiles.

Terminado su periodo, Lerdo buscé reelegirse, lo cual provocé
la inconformidad del Congreso y de Porfirio Diaz. Este volvié a le-
vantarse en armas, y se puso al frente del Plan de Tuxtepec, en el

Exilio. Abandonar el pais de —_que exigia de nueva cuenta la no reeleccién. Diaz recibié un amplio
origen, generalmente por cau-

sas politicas.

Sebastian Lerdo de Tejada (1823-1889).

respaldo de gran parte de la poblacién y finalmente Lerdo se vio
obligado a renunciar y a exiliarse en Estados Unidos.",Liberalismo
2019,1,19,"Litografia que representa la victoria de! Plan de Tuxtepec.

Porfirio Diaz fue elegido presidente y asumié el cargo en 1877.
Los primeros afos de su gobierno fueron de ajustes y busqueda
de la paz. Consiguié aliarse con mas grupos y fortalecer su poder
mediante la conciliacién; por ejemplo, pacté con los caciques
regionales y puso a sus hombres de confianza al mando del ejército.
También traté de unificar a los liberales y reconciliar al gobierno
con la Iglesia y los conservadores.

El primer periodo presidencial de Diaz duré hasta 1880; el ge-
neral Manuel Gonzalez, quien le siguié en el cargo, era su amigo
cercano. Durante su gobierno continué la reorganizacién del pais:
se construyeron vias férreas, se creé el Banco Nacional de México y,
ademas, se reabrié el Colegio Militar. También se firmé el Tratado
de Limites con Guatemala, se establecié la primera fabrica de armas
en el pais y se fortalecieron las relaciones diplomaticas con Estados
Unidos y Europa.",Conservadurismo
