generacion,libro,pagina,texto,prediccion
1962,1,1,"MI SERVICIO A MEXICO

1. Mi patria es México. Debo servirla siempre con mi pensa-
miento, con mis palabras, con mis actos.

2. México necesita y merece, para asegurar su dicha y para
aumentar su grandeza, el trabajo material ¢ intelectual de sus hijos
y la moralidad de todos ellos.

3. Debo ser digno, justo, generoso y dtil. Asi honraré a mi familia,
a la sociedad en que vivo, a mi pais y a la humanidad.

4. Debo ser agradecido con mis padres y con mis maestros;
reconocer los sacrificios que realizan para mi educacién; hacer buen
uso de los conocimientos que he recibido, y cumplir con Jas normas
de buena conducta que se me han inculcado.

5. Mi obligacién actual es el estudio. Perseveraré en él con
entusiasmo, para realizar m4s eficazmente cuanto mi propia vida y
la de mis semejantes esperan de mf.

6. Buscaré siempre el bienestar de los demés, los trataré con
urbanidad y tolerancia, y respetaré en todos el supremo don que es
la vida, protegiendo la de ellos igual que protejo la mfa propia.

7. Lucharé contra el yicio, el aleoholismo, la mentira, la desleal-
tad, el fraude, la violencia y el crimen.

8. Trabajaré siempre por la salud fisica y mental del pucblo
mexicano, para que podamos todos disfrutar alegremente de la capa-
cidad de sentir, de estudiar, de trabajar.

9. Seré siempre valeroso para vencer las dificultades que surgen
en la vida.

10, Apreciaré lo bello y lo noble, en la naturaleza, en el arte, en
el pensamiento y en la conducta de las personas yirtuosas.

11, Ayudaré a mis semejantes sin pretender que sobre sus libertades
y derechos prive mi interés egofsta.

12. Siempre seré veraz, y daré, en todo lo que haga, ejemplo de
honradez, de rectitud y de sentido de responsabilidad.

(Principios de conducta formuladas
por la Secretaria de Salubridad y
Asistencia para que se les inserte en
los Libros de Texto Gratuttos.",Socialismo
1962,1,2,"I, México a principios del
presente siglo.

Habran ustedes oido referir, a sus padres
© a sus abuelos, cémo se vivia en nuestra
patria hace algunos afios.

Vedmoslo aqui nosotros.

A principios del presente siglo gobernaba
a México don Porfirio Diaz. Su voluntad era
la ley suprema. Ocupaban los puestos piibli-
cos las personas que escogia él. No habia
democracia,

Las mejores tierras estaban en manos de
gente rica que, por lo general, no vivia en el
campo, sino en las ciudades, y siempre con
lujo. En las tierras explotadas asi —se lla-
maban haciendas— los peones trabajaban
de sol a sol y por un salario misero.

Eran aquellos trabajadores poco menos
que esclavos: no podian ausentarse de las
fincas sin autorizacién del amo; éste era
duefio de la tienda donde los peones tenian
que hacer sus compras; a menudo no se les
pagaban los jornales en dinero; recibfan en
cambio vales o fichas, que sélo en la tienda
de raya —ése era el nombre— tenian valor.

Los ferrocarriles, y casi la totalidad de la
poca industria que entonces habia, estaban
en manos extranjeras. A los obreros no se les
reconocia derecho alguno. Sus salarios eran
bajisimos.

Por falta de higiene, las enfermedades se",Nacionalismo
1962,1,3,"ensafiaban en el pueblo, sobre todo en los
nifios. Muchos de éstos morian en los pri-
meros meses 0 afios de su vida. Habfa pocos

hospitales.

Mas de las dos terceras partes del pueblo mexicano ignoraban en-
tonces los beneficios de la instruccién. A pesar de los esfuerzos de un

mexicano eminente —el Maestro don Justo Sierra— eran pocas las
escuelas y pocos los que sabian leer y escribir.

RESUMEN:

Don Porfirio Diaz goberné
como dictador durante cerca de
treinta afios.

Los ricos hacendados eran due-
fios de las mejores ticrras y paga-
ban salarios miseros a los peones,
que trabajaban de sol a sol.

Los empresarios extranjeros ex-
plotaban a los obreros mexicanos.

La falta de higiene producia
muchas victimas, especialmente
entre los nifios,

La mayoria de los mexicanos
no habia ido nunca a la escuela.

VOCABULARIO

hacienda — terreno o finca de gran extensién.

peon — twabajador del campo.

de sol a sol — desde que sale el sol hasta que se pone.
dictador — gobernante que impone su propia voluntad, no la de la ley.",Autoritarismo
1962,1,4,"II. Francisco I. Madero.

En vista de los sufrimientos del
pueblo, muchos buenos mexicanos
hicieron oir su voz en defensa de
los débiles y en demanda de dere-
chos cfivicos para todos.

El] Presidente no hizo caso. En-
diogado por cuantos lo rodeaban,
salvo excepciones contadisimas, se
reeligié por séptima vez, para con-
tinuar sus métodos de gobierno.

Entonces don Francisco I. Ma-
dero promovié y encabezé la Re-
volucié6n Mexicana, convocando a
todo el pueblo para que el 20 de
noviembre de 1910 se levantara
en armas contra el dictador.

Seis meses duré la lucha san-
grienta; la voluntad del pueblo se
impuso, y don Porfirio abandondé
el pafs.

Desde luego hubo elecciones li-
bres, En ellas result6 elegido para
la Presidencia de la Repdblica el
jefe de la Revolucién.

Igualmente fueron elegidos li-
bremente por el pueblo los diputa-
dos, los senadores y los goberna-
dores de los Estados.

Por desgracia, el gobierno de-
mocratico de Madero duré sola-
mente dos afios escasos, porque en",Populismo
1962,1,5,"febrero de 1913 una parte del ejército, la que era enemiga de las ideas
y las libertades revolucionarias, se sublevé, tomé preso al Presidente y

al Vicepresidente, don José Maria Pino Suarez, y los asesiné.

¢Qué hizo el pueblo mexicano al enterarse de la muerte del Martir
de la Democracia?

Lo veremos en la siguiente lecci6n.

RESUMEN:

Don Francisco I. Madero se
puso a la cabeza de los buenos
mexicanos que exigieron a Porfi-
rio Diaz el respeto de los derechos
politicos.

La Revolucién Mexicana em-

El pueblo triunfé y eligié Presi-
dente de la Reptblica a don
Francisco I. Madero.

Gran parte del antiguo ejército
tomé preso a Madero y al Vice-

pez6, encabezada por Madero, el
20 de noviembre de 1910.

presidente y los asesiné el 22 de
febrero de 1913.",Nacionalismo
1962,1,6,"II. La Constitucién
de 1917,

Al enterarse de la muerte del
Presidente Madero, el pueblo me-
xicano empufié otra vez las armas.
No queria que volviera la dicta-
dura.

Don Venustiano Carranza fue
el nuevo jefe de la Revolucién. La
lucha, enconada y sangrienta, se
prolongé, pero el pueblo volvié
a triunfar.

Por fin, en el Congreso de Que-
rétaro, los diputados revoluciona-
rios redactaron una nueva Cons-
titucién, que es la que nos rige
todavia. Fue promulgada por don

Venustiano Carranza el 5 de fe-
brero de 1917.

La Constitucién, ley suprema,
es la base de la democracia me-
xicana.

Como se dice al comienzo de
este libro, nuestra Constitucién
reconoce que el poder politico re-
side, esencial y originariamente,
en el pueblo.

El gobierno esta formado por los
legitimos representantes del pue-
blo y gobierna para beneficio del
pueblo mismo.",Populismo
1962,1,7,"RESUMEN:

Don Venustiano Carranza se puso
al frente de la Revolucién en 1913
para reconquistar la libertad del
pueblo mexicano.

La Constitucién que nos rige ac-
tualmente fue promulgada el 5 de
febrero de 1917.

La Constitucién es la ley suprema
del pafs y debe ser obedecida
tanto por el pueblo como por el
gobierno.

México tiene un gobierno demo-
cratico, pues elige libremente a
sus gobernantes.",Conservadurismo
1962,1,8,"IV. Derechos de los obreros y de los campesinos.

La Revolucién Mexicana ha hecho justicia a los obreros y a los
campesinos, tan injustamente tratados durante el gobierno dictatorial
de Porfirio Diaz.

El Artfculo 123 de la Constitucién asegura a los obreros mexicanos
los siguientes beneficios:

Salario justo,

Derechos de reunién,
de peticién y
de huelga.

Seguro Social.

Indemnizacién
en caso
de accidente.

Vacaciones
anuales pagadas. 4",Socialismo
1962,1,9,"Tierra y Libertad

Sin duda que habrds ofdo el
nombre de Emiliano Zapata. Al-
guna calle o escuela de tu pobla-
cién llevara ese nombre.

Emiliano Zapata fue un labrie-
go del Estado de Morelos. Luché
incansablemente para que los ha-~
cendados devolviesen las tierras
de que injustamente habian des-
pojado a los campesinos de aquella
regién. Su lema revolucionario

fue: Tierra y Libertad.

EMILIANO ZAPATA

Después del triunfo definitivo
de la Revolucién, el gobierno ha
hecho justicia a los campesinos
dandoles tierras y los medios para
cultivarlas.

Ha construido grandes presas
de agua para regar los campos.

Ha abierto canales que distri-
buyan esas aguas, 0 que avenen
las de los pantanos.

Las tierras, asi regadas y fertili-
zadas, han sido distribuidas entre
los ejidatarios y los pequefios pro-
pietarios.

Unos y otros siembran y cose-
chan diversos vegetales, segiin el
clima y la clase de los terrenos.

f",Nacionalismo
1962,1,10,"Las cosechas son oportunamente
distribuidas y vendidas en toda la
extensién del pafs, lo que va permi-
tiendo a los campesinos disfrutar
de mejores condiciones de vida.

RESUMEN:

El Articulo 123 de la Constitu-
cién asegura los derechos de los
obreros.

Los principales derechos de los
obreros son:

El salario justo, la jornada de
ocho horas, los derechos de reu-
nién y de huelga, el seguro social,
la indemnizacién por accidentes
del trabajo, las vacaciones anuales
pagadas.

Emiliano Zapata combatié para
que se diera a los campesinos
tierra y libertad.

Con la construccién de presas
y canales, la Revolucién ha au-
mentado y mejorado las tierras
destinadas a la agricultura.

Los ejidatarios y los pequefios
propietarios cultivan las tierras
y producen los alimentos que
necesita el pueblo mexicano,",Capitalismo
