Entidad,Contexto
Del porfirismo a la Revolucién,"« , 74 Del porfirismo a la Revolucién, 1957-1966, mural de David ~ Alfaro SIqueiros, Museo Nacional de Historia. Fm"
David ~ Alfaro SIqueiro,"« , 74 Del porfirismo a la Revolucién, 1957-1966, mural de David ~ Alfaro SIqueiros, Museo Nacional de Historia. Fm"
Museo Nacional de Historia,"« , 74 Del porfirismo a la Revolucién, 1957-1966, mural de David ~ Alfaro SIqueiros, Museo Nacional de Historia. Fm"
Museo Nacional de Historia,"Diaz renuncio a la presidencia y abandoné el pais, quedando como presidente interino Francisco Leén de la Barra, quien organizé elecciones libres en las que resulté triunfador Francisco I. Madero, quien goberné junto con el vicepresidente José Maria Pino Suarez. Madero traté de gobernar con apego a la ley y respetando las libertades democraticas, sin embargo, enfrenté graves problemas. Sufragio efectivo, no reeleccién, 1968, Juan O’ Gorman, Museo Nacional de Historia."
Museo Nacional de Historia,"vicepresidente José Maria Pino Suarez fueron asesinados por ordenes del general Victoriano Huerta, quien usur- po la presidencia. Carmen Serdan (1875-1948). Ante este hecho, Venustiano Carranza, gobernador de Coahuila, elaboré el Plan de Guadalupe, en el que desconocia a Victoriano Huerta como presidente y se autonombraba primer jefe del Ejército Constitucionalista, llamado asi porque el plan exigia el respeto a la Constitucion. = 2 Sar ae El general Aurelio Blanquet aprehende al presidente Madero y al vicepresidente Pino Suarez (18 de febrero), F. Dené, Museo Nacional de Historia."
Revolucién Mexicana,"BLOQUE Il Panorama del periodo Ubicacion temporal y espacial de los principales acontecimientos durante el Porfiriato y la Revolucién Mexicana Entre 1870 y 1920, nuestro pais vivié cambios muy importantes. Con la llegada de Porfirio Diaz a la presidencia se inicié la recupe- racién de la economia y la reconciliacién entre los grupos que hasta entonces se disputaban el poder; con nuevos préstamos se restruc- turé la deuda externa y otros paises invirtieron en México. Sin embargo, gran parte de la poblacién continué viviendo en la miseria, sometida a trabajos excesivos y con poca paga, lo cual pro- dujo descontento."
Revolucién Mexicana,"Para mantener el orden, Porfirio Diaz establecié un gobierno autoritario: reprimié duramente a quienes no estaban de acuerdo con él, limité la libertad de expresién y se mantuvo en la presidencia por mas de 30 afios, negandose a efectuar elecciones libres. En este bloque estudiaras las caracteristicas de ese gobierno y el estallido de la Revolucién Mexicana, la cual condujo a la redaccién de una nueva constitucién que planted soluciones a muchos de los problemas del pais. e D g PARA INICIAR Observa con atencion la imagen que ilustra la entrada del bloque Ill y contesta las siguientes preguntas. @"
Revolucién Mexicana,"Batallasimportantes: le es i * Escala 1:23 263 000 Plan de Ayala, 1911 / GUATEMALA. f= © Hechos notables 0 300 600 km. { Honpuras OO —— ‘ Te Te Tos"" 107 as ae | 4g Madero presidente, Huerta presidente, | 1911-1913 1913-1914 i Inicia la Revolucién Mexicana, 1910 . Derrota de Villa Constitucién N 1 1 Huelga de obreros en Rio en Celaya, 1915 de 1917 Blanco, Veracruz, 1907 Invasién y ataque | : ss : ="" estadounidense al Puerto Carranza Huelga de obreros en — Cananea, Sonora, 1906 ecle tacit! presidente, oy | Villa toma Zacatecas, 1914 1917-1920"
Revolucién Mexicana,"BLOQUE Ill UN DATO (ik INTERESANTE Una corriente de pensamiento considerada precursora de la Revolucion fue el magonismo, encabezada por los herma- nos Enrique y Ricardo Flores Mag6n. Entre sus propuestas planteaban terminar con el reeleccionismo y promover la participacion ciudadana. Ade- mas, impulsar el mejoramien- to y fomento de la educacion y de las condiciones de trabajo. La Revolucion Mexicana El maderismo y el inicio de la Revolucién Mexicana Hacia finales del siglo x1x y principios del xx se formaron distintos grupos politicos que exigieron elecciones democraticas. Asimismo se fundaron periddicos opositores al gobierno, como El Hijo del Ahuizote"
México,"BLOQUE Il Panorama del periodo Ubicacion temporal y espacial de los principales acontecimientos durante el Porfiriato y la Revolucién Mexicana Entre 1870 y 1920, nuestro pais vivié cambios muy importantes. Con la llegada de Porfirio Diaz a la presidencia se inicié la recupe- racién de la economia y la reconciliacién entre los grupos que hasta entonces se disputaban el poder; con nuevos préstamos se restruc- turé la deuda externa y otros paises invirtieron en México. Sin embargo, gran parte de la poblacién continué viviendo en la miseria, sometida a trabajos excesivos y con poca paga, lo cual pro- dujo descontento."
México,"BLOQUE Il @ CUANDO Y DONDE PASO 1. Observa la linea del tiempo y responde. ™ ~Cuantas décadas duré el Porfiriato? ® ~Cuanto tiempo goberné Francisco |. Madero? @ Identifica en qué siglos se desarrollaron los siguientes hechos histéricos. ~ Construcci6n del ferrocarril México-Ciudad Juarez. - Francisco |. Madero es elegido presidente de México. - Promulgacién de la Constitucién de 1917. - Inicio de la explotacién del petrdleo. 2. Observa el mapa histdrico para responder las siguientes pre- guntas. ®@ En qué regiones o entidades hubo influencia de los caudi- llos Alvaro Obreg6n, Francisco Villa, Pablo Gonzalez y Emi- liano"
