Entidad,Contexto
José Guadalupe Posada,"ri AF lr ~ ee! La electricidad, el teléfono, los graméfonos (tocadiscos), el cine, las bicicletas y los automéviles fueron novedades que llegaron en los iltimos aiios del siglo. Las desventajas, que quizé hoy parezcan insignificantes, no escaparon al ojo critico de José Guadalupe Posada, autor de los grabados de esta pagina. v 1888 se trazaron hacia los puertos mas impor- tantes y hacia Ja frontera con los Estados Unidos, para facilitar el intercambio comer- cial con aquel pais. Al mismo tiempo, au- mentaron la circulaci6n de productos entre distintas regiones de México, y sirvieron como medio de control politico"
Estados Unidos,"ri AF lr ~ ee! La electricidad, el teléfono, los graméfonos (tocadiscos), el cine, las bicicletas y los automéviles fueron novedades que llegaron en los iltimos aiios del siglo. Las desventajas, que quizé hoy parezcan insignificantes, no escaparon al ojo critico de José Guadalupe Posada, autor de los grabados de esta pagina. v 1888 se trazaron hacia los puertos mas impor- tantes y hacia Ja frontera con los Estados Unidos, para facilitar el intercambio comer- cial con aquel pais. Al mismo tiempo, au- mentaron la circulaci6n de productos entre distintas regiones de México, y sirvieron como medio de control politico"
Estados Unidos,"transporte se hacian cargo Ios arrieros, con sus recuas de mulas. Para ir del centro de México a los Estados Unidos habia que via- Jar por barco, de Veracruz a Houston oa Nueva Orleans. También se llegaba por mar a Yucatan, Durante el Porfiriato, los ferrocarriles y sac : él telégrafo transformaron la vida. Los viajes “ ay 4 resultaron mas rapidos, comodos y seguros; pe=shos eas rom! shy los mensajes llegaron en menos tiempo. : lait SA Logro ampliarse notablemente la educa- clon publica; cada vez mas gente pudo es- tudiar alguna carrera y empezo a surgir en Las"
Estados Unidos,"Su atencién de estadista también vio mas alla de lo econémico. Durante su gobierno la educacién publica recibié el primer gran impulso de difu- La Decena Tragica Con el apoyo de algunos diplomaticos ex- tranjeros, encabezados por el embajador de Estados Unidos, en febrero de 1913 tres antiguos militares porfiristas se rebelaron contra Madero en la Ciudad de México. Uno de ellos, Bernardo Reyes, muri6 cuando di- rigia un ataque contra el Palacio Nacional. Los otros dos, Félix Diaz y Manuel Mondra- g6n, se encerraron en la Cludadela, un anti- guo deposito de armas en el centro de la capital."
Estados Unidos,"P mowmmo manent combates en la Ciudad de México; muchos Cciviles murieron y muchos edificios fueron dafiados. El embajador de los Estados Unidos; Henry Lane Wilson, arregié que Huerta y los militares alzados se entrevistaran en la em- bajada de su pais. Wilson temia que el movi- miento revoluctonario afectara los intere- | ses de las companias norteamericanas. | Preferia que hubiera un nuevo dictador y crela que Huerta podria serio. El 18 de febrero, unos soldados de Huer- ta entraron a Palacio Nacional y apresaron a Madero junto con el vicepresidente Pino Suarez. Los dos fueron obligados a renun-"
Estados Unidos,"de carcel, acusa- do de violar el Acta de Espionaje, Murié en prisién, en los Estados Unidos."
Estados Unidos,"las tropas federales en las batallas de Torreon y de Zacatecas. La Convencién de Aguascalientes El movimiento constitucionalista triunfo. En agosto de 1914, Huerta dej6 el pais y Ca- franza entro en la Ciudad de México. Pero no todos los revolucionarios estaban de Vv 1916 MARIO © Francisco Villa ataca Columbos on tos Estados Unidos © Persocucién de Villa por tropas norteamoricanas acuerdo en que Carranza fuera el tubre de 1914, los = caudillos 0 sus re- Presentantes se reunieron en Aguascalientes, para ponerse de acuerdo, en la Soberana Convencion Re- volucionaria. del Norte. on México"
Estados Unidos,"veces ha sido reformada, para adaptaria a las circunstancias, que cambian con el tiempo, pero sus principlos basicos siguen normando Ia vida de México. visi9 ABRIL * Asesinato de Emiliano Lapata Después de su derrota, Villa se refugié on la sierra de Chihuahua. En 1916, cuando el gobierno de los Estados Unidos reconocié al de Carranza, Villa invadié ef territorio estadunidense y atacé el pueblo de Columbus, en Nuevo México. Carranza lo declaré fuera de la ley. Una columna de soldados norteamericanos entré a México para perseguirlo, pero no pudieron encontrarlo, En la foto, Villa posa entre Alvaro Obregén y"
Estados Unidos,"a tropas mexicanas durante la guerra con los Estados Unidos. oy En la constitucién liberal de 1857, el pais queda dividido en 23 estades, el territorio de Baja California y e} Distrito Federal. Guerrero habia sido creado en 1849, Coahuila y Nuevo Leda se fundieron en un solo estado y se le dio tal categoria al territorio de Tlaxcala. El Aguila proviene de la bandera del Batallén de Artilleria Fija de Matamoros, | que peled del lado liberal en la Guerra de Reforma. ‘rwcarat"
México,"ri AF lr ~ ee! La electricidad, el teléfono, los graméfonos (tocadiscos), el cine, las bicicletas y los automéviles fueron novedades que llegaron en los iltimos aiios del siglo. Las desventajas, que quizé hoy parezcan insignificantes, no escaparon al ojo critico de José Guadalupe Posada, autor de los grabados de esta pagina. v 1888 se trazaron hacia los puertos mas impor- tantes y hacia Ja frontera con los Estados Unidos, para facilitar el intercambio comer- cial con aquel pais. Al mismo tiempo, au- mentaron la circulaci6n de productos entre distintas regiones de México, y sirvieron como medio de control politico"
México,"y militar El correo y los telégrafos se extendieron por el territorio nacional. Se fundaron algu- nos bancos, el gobierno puso en orden sus finanzas, comenz6 a cobrar impuestos re- ¥ 1890 gularmente, y llego a pagar las deudas del pais Esto permitio el progreso de a agricultu- ra, el Comercio, la mine- ria y la industria- sobre todo la cervecera fa ta- bacalera, Ja vidriera y la textil. México tuvo un creci- miento economico nun- Ca visto. Pero el desarro- llo favoreci6 desproporcionadamente a los pocos mexicanos y extranjeros que tenian dinero para invertir Extensiones enormes de tierras deshablitadas"
México,"transporte se hacian cargo Ios arrieros, con sus recuas de mulas. Para ir del centro de México a los Estados Unidos habia que via- Jar por barco, de Veracruz a Houston oa Nueva Orleans. También se llegaba por mar a Yucatan, Durante el Porfiriato, los ferrocarriles y sac : él telégrafo transformaron la vida. Los viajes “ ay 4 resultaron mas rapidos, comodos y seguros; pe=shos eas rom! shy los mensajes llegaron en menos tiempo. : lait SA Logro ampliarse notablemente la educa- clon publica; cada vez mas gente pudo es- tudiar alguna carrera y empezo a surgir en Las"
México,"plantaciones de catia de Morelos y Guerrero crecieron a costa de las tierras de pequeiios campesinos que se vieron forzados a trabajar como peones. En la peninsula de Yucatan las cludades una clase media de profesio- nistas y buroécratas Mucha mas gente aprendio a leer y esto permitio que apare- cleran nuevos perlddicos, revistas y libros escritos e impresos en México. La paz propicié que avanzaran las clen- Clas, las artes y la técnica. Se fundaron aca- demias, museos y sociedades artisticas y cientificas. Se construyeron teatros, que presentaban compafias europeas y mexica- nas. Pronto el cinematégrafo se extendid por"
