Entidad,Contexto
México,"El 15 de jullo de 1867, la capital de México se visti6 de fiesta para recibir a Juarez, que retornaba victorioso. Con su triunfo se consolidaba la republica, que ha- bia sido amenazada y atacada por el impe- rio de Maximiliano y que la tenacidad del Presidente constitucional y de sus colabo- fadores mas cercanos, asi como /a resisten- Cia del pueblo, habjan iogrado sostener. A los diez afos siguientes, época en que se afianzo el gobierno republicano, se les liama a veces la RepUblica Restaurada aun- que, en realidad, la firmeza ejemplar del go- bierno de Juarez logro que"
México,"la republica no desapareciera nunca, Con el triunfo de Juarez y gracias al res- Peto que su gobierno tuvo por Ia Constitu- cion y por las Leyes de Reforma, se consoli- d6 el Estado mexicano. Disminuyd el desorden politico, y México comenzo a ser una republica vigilante de sus leyes. Juarez y su sucesor en la presidencia, Sebastian Lerdo de Tejada, sabian que el nals necesitaba impulsar su economia; re- hacer la agricultura, multiplicar la industria, construir ferrocarriles y poblar las tierras no habitadas. Sin embargo, no pudieron realizar estos planes debido a Ia falta de re- cursos, las rebellones"
México,"muchas veces. Su gobierno fue verdadera- mente largo, de 1876 a 1911, con dos inte- rrupciones: una de dos meses, entre 1876 y 1877, en que dej6 el poder a Juan N. Mén- dez, y otra entre 1880 y 1884, cuando go- bern6 Manuel Gonzalez. EI pueblo mexicano estaba hastiado del desorden y la guerra, y Diaz se propuso Im- poner fa paz a cualquier costo. México no tenia dinero, ni se lo querian prestar en nin- gun lado, porque no habia pagado sus deu- das con puntualidad. Habia que atraer capi- tal extranjero, pero nadie Invertiria en México si"
México,"muchas veces. Su gobierno fue verdadera- mente largo, de 1876 a 1911, con dos inte- rrupciones: una de dos meses, entre 1876 y 1877, en que dej6 el poder a Juan N. Mén- dez, y otra entre 1880 y 1884, cuando go- bern6 Manuel Gonzalez. EI pueblo mexicano estaba hastiado del desorden y la guerra, y Diaz se propuso Im- poner fa paz a cualquier costo. México no tenia dinero, ni se lo querian prestar en nin- gun lado, porque no habia pagado sus deu- das con puntualidad. Habia que atraer capi- tal extranjero, pero nadie Invertiria en México si"
México,"troncar con la red ferrocarrilera de aquel pais y facilitar el intercambio comercial. Las vias también sirvieron para facilitar la circu- lacion de productos entre distintas regio- nes de México, y como medio de control politico y militar. Al mismo tiempo, ei correo y los telé- grafos se extendieron por buena parte del territorio nacional. Se fundaron algunos bancos, se organizaron las finanzas del go- bierno, se regulariz6 el cobro de impues- tos, Y poco a poco se fueron pagando las deudas. Esto permitié el progreso de la agricultura, el comercio, la mineria y la in- dustria: sobre todo la"
México,"textil, la vidriera, la tabacalera y la cervecera. La agricultura progreso espectacular- mente en Yucatan, en Morelos y en La Lagu- na, reglones donde se cultivé un solo pro- ducto: henequén, cafia de azucar y algodon, v 1876 * Porfirio Diaz tanza el Plan de Taxtepec * Porfirio Diaz, presidente provisional * El telefono, inventado en los Estados Unidos por Graham Bell i sigto xIx (37) La consolidacion del Estado mexicano :s+sssseese+ México tuvo un crecimiento econdmico nunca antes visto. Pero, como poca gente tenia dinero para invertir o podia conse- guirlo prestado, el desarrollo favoreci6 a unos cuantos mexicanos"
México,"centro de Mé- xico, porque era mas facil viajar por mar que por tierra. Las selvas, las montafas, los rios hacian dificil construir carreteras. En 1852, se Inauguro el servicio de telé- grafos entre México y Veracruz. Veintiun afios después, como dijimos, comenz6 a Ccorrer él ferrocarril entre esas mismas clu- dades. Con los telégrafos y los ferrocarriles, las cosas empezaron a cambiar. Las distan- Clas se acortaron; los mensajes Ilegaron en mucho menos tiempo y los viajes resulta- fon mas rapidos, comodos y seguros. Una diligencia tardaba seis dias en llegar de México a Guadalajara: en ferrocarril el viaje"
México,"centro de Mé- xico, porque era mas facil viajar por mar que por tierra. Las selvas, las montafas, los rios hacian dificil construir carreteras. En 1852, se Inauguro el servicio de telé- grafos entre México y Veracruz. Veintiun afios después, como dijimos, comenz6 a Ccorrer él ferrocarril entre esas mismas clu- dades. Con los telégrafos y los ferrocarriles, las cosas empezaron a cambiar. Las distan- Clas se acortaron; los mensajes Ilegaron en mucho menos tiempo y los viajes resulta- fon mas rapidos, comodos y seguros. Una diligencia tardaba seis dias en llegar de México a Guadalajara: en ferrocarril el viaje"
México,"e impresos en México. Se multiplicaron los caminos, puentes, edificios y escuelas. Los teatros presenta- ban compafias y actores europeos, y pron- to el cinematdgrafo fue conocido en todo v 1880 « Manuel Gonralez, presidente El sigto xIx @ La consolidacion del Estado mexicano +s++s++* sen el pais. Muchos empresarios improvisaban salas de cine en carpas, hasta en lugares muy apartados, y pasaban vistas: escenas cortas, sin historia, de personajes o de ciu- dades extranjeras y mexicanas. Lo intere- sante era ver las Imagenes en movimiento. Gracias a su bajo costo, el cine fue desde un principio una diversién muy"
México,"7) set eeeeeeneeeeeeeeeeeessetesreeceseeoesee! sigia XIX (il ba consolidacion del Estado mexicano Musicos como Juventino Rosas, Ricardo Castro y Felipe villanueva buscaron crear una musica con hon- das raices populares. Hubo grandes novelistas, como Federico Gamboa: cronistas y cuentistas, como Angel de Campo, y poetas como Manuel Gutié- rrez Najera, Manuel José Othon, Salva- dor Diaz Miron y Amado Nervo, que dedicaron su talento a describir y a cantar la vida y el paisaje de México, asi como a explorar Ia intimidad de sus sentimientos. En los Ultimos aNos del gobierno de Diaz hubo un grupo de mucha- chos brillantes y"
