Entidad,Contexto
México,"Las primeras revoluciones del siglo XX México a principios del siglo XX éRecuerdas que México fue atacado en el siglo XIX por algunos paises industriales? En 1838 por Francia, en 1847 por los Estados Unidos y de 1861 a 1867 de nuevo por Francia, El go- bierno de Porfirio Diaz logré pacificor y organizar al pais pero, como no te- niamos capital, el gobierno se vio obligado a dar concesiones a los ex- tranjeros. Casi todas las industrias y comercios fueron quedando, gradual- mente, en manos de extranjeros. Los mexicanos instruidos, al igual que lo hicieron los burécratas chinos, creye-"
México,"Las primeras revoluciones del siglo XX México a principios del siglo XX éRecuerdas que México fue atacado en el siglo XIX por algunos paises industriales? En 1838 por Francia, en 1847 por los Estados Unidos y de 1861 a 1867 de nuevo por Francia, El go- bierno de Porfirio Diaz logré pacificor y organizar al pais pero, como no te- niamos capital, el gobierno se vio obligado a dar concesiones a los ex- tranjeros. Casi todas las industrias y comercios fueron quedando, gradual- mente, en manos de extranjeros. Los mexicanos instruidos, al igual que lo hicieron los burécratas chinos, creye-"
México,"bir acerca de los problemas de México, y algunos fundaron partidos politicos prepardndose pora las elecciones. Uno de ellos fue Francisco |. Made- ro, que no sélo fundé un partido, sino que viajé por todo el pais para expli- car sus ideas. Pero Diaz cambiéd de opinién en 1910 y encarcelé.a Madero, haciéndose reelegir presidente una vez mas. Se inicia la revolucién Madero pagé una fianza y salié de la carcel decidido a iniciar lo revolu- cién contra Diaz. Publicé un documen- to llamado Plan de San Luis cuya idea central es el lema que todavia usamos: ""“Sufragio Efectivo. No"
Francia,"Las primeras revoluciones del siglo XX México a principios del siglo XX éRecuerdas que México fue atacado en el siglo XIX por algunos paises industriales? En 1838 por Francia, en 1847 por los Estados Unidos y de 1861 a 1867 de nuevo por Francia, El go- bierno de Porfirio Diaz logré pacificor y organizar al pais pero, como no te- niamos capital, el gobierno se vio obligado a dar concesiones a los ex- tranjeros. Casi todas las industrias y comercios fueron quedando, gradual- mente, en manos de extranjeros. Los mexicanos instruidos, al igual que lo hicieron los burécratas chinos, creye-"
Francia,"Las primeras revoluciones del siglo XX México a principios del siglo XX éRecuerdas que México fue atacado en el siglo XIX por algunos paises industriales? En 1838 por Francia, en 1847 por los Estados Unidos y de 1861 a 1867 de nuevo por Francia, El go- bierno de Porfirio Diaz logré pacificor y organizar al pais pero, como no te- niamos capital, el gobierno se vio obligado a dar concesiones a los ex- tranjeros. Casi todas las industrias y comercios fueron quedando, gradual- mente, en manos de extranjeros. Los mexicanos instruidos, al igual que lo hicieron los burécratas chinos, creye-"
Estados Unidos,"Las primeras revoluciones del siglo XX México a principios del siglo XX éRecuerdas que México fue atacado en el siglo XIX por algunos paises industriales? En 1838 por Francia, en 1847 por los Estados Unidos y de 1861 a 1867 de nuevo por Francia, El go- bierno de Porfirio Diaz logré pacificor y organizar al pais pero, como no te- niamos capital, el gobierno se vio obligado a dar concesiones a los ex- tranjeros. Casi todas las industrias y comercios fueron quedando, gradual- mente, en manos de extranjeros. Los mexicanos instruidos, al igual que lo hicieron los burécratas chinos, creye-"
Porfirio Diaz,"ron que el pais se modernizaria, aun- que la sociedad no cambiara. Para ellos lo Unico importante era mantener el orden. la organizacién social y econémica mexicana mantenia muchas injusticias. Habia unos cuantos ricos, muchos cam- pesinos sin tierra y gente de la clase media en las ciudades que llevaba una vida llena de escasez. La clase obrera que habio aparecido con Ins industrias también vivia en malas condiciones y empezaba a organizarse para mejo- rar su vida. Se fundan partidos politicos Porfirio Diaz goberndé durante mas de treinta afios. En 1908 afirmé que Mé- xico ya estaba listo para"
Porfirio Diaz,"Reeleccién’’. Madero hizo un llamado para que la lucha empezara el 20 de noviembre de 1910. Para abril de 1911 Porfirio Diaz ya habia renunciado, se estable- cié un nuevo gobierno y se hicieron elecciones libres, en las que triunfo Madero. Pero no habia acuerdo en un pro- blema fundamental: algunos lideres, como Emiliano Zapata, querian justicia inmediata para los campesinos, otros pensabon que con las elecciones |i- bres poco a poco se resolverian los problemas y otros mds querion un gobierno como el de Porfirio Diaz. El general Victoriano Huerta era de estos Ultimos y, con la complicidad de"
México,"ron que el pais se modernizaria, aun- que la sociedad no cambiara. Para ellos lo Unico importante era mantener el orden. la organizacién social y econémica mexicana mantenia muchas injusticias. Habia unos cuantos ricos, muchos cam- pesinos sin tierra y gente de la clase media en las ciudades que llevaba una vida llena de escasez. La clase obrera que habio aparecido con Ins industrias también vivia en malas condiciones y empezaba a organizarse para mejo- rar su vida. Se fundan partidos politicos Porfirio Diaz goberndé durante mas de treinta afios. En 1908 afirmé que Mé- xico ya estaba listo para"
Porfirio Diaz,"la demo- cracia y prometié elecciones libres en 1910. Personas ilustradas, que esta- ban inconformes con la dictadura de Diaz, empezaron a reflexionar y escri- los campesinos mexicanos vivian en muy malas condiciones mo ig"
Porfirio Diaz,"bir acerca de los problemas de México, y algunos fundaron partidos politicos prepardndose pora las elecciones. Uno de ellos fue Francisco |. Made- ro, que no sélo fundé un partido, sino que viajé por todo el pais para expli- car sus ideas. Pero Diaz cambiéd de opinién en 1910 y encarcelé.a Madero, haciéndose reelegir presidente una vez mas. Se inicia la revolucién Madero pagé una fianza y salié de la carcel decidido a iniciar lo revolu- cién contra Diaz. Publicé un documen- to llamado Plan de San Luis cuya idea central es el lema que todavia usamos: ""“Sufragio Efectivo. No"
Francisco I. Madero,"bir acerca de los problemas de México, y algunos fundaron partidos politicos prepardndose pora las elecciones. Uno de ellos fue Francisco |. Made- ro, que no sélo fundé un partido, sino que viajé por todo el pais para expli- car sus ideas. Pero Diaz cambiéd de opinién en 1910 y encarcelé.a Madero, haciéndose reelegir presidente una vez mas. Se inicia la revolucién Madero pagé una fianza y salié de la carcel decidido a iniciar lo revolu- cién contra Diaz. Publicé un documen- to llamado Plan de San Luis cuya idea central es el lema que todavia usamos: ""“Sufragio Efectivo. No"
Francisco I. Madero,"bir acerca de los problemas de México, y algunos fundaron partidos politicos prepardndose pora las elecciones. Uno de ellos fue Francisco |. Made- ro, que no sélo fundé un partido, sino que viajé por todo el pais para expli- car sus ideas. Pero Diaz cambiéd de opinién en 1910 y encarcelé.a Madero, haciéndose reelegir presidente una vez mas. Se inicia la revolucién Madero pagé una fianza y salié de la carcel decidido a iniciar lo revolu- cién contra Diaz. Publicé un documen- to llamado Plan de San Luis cuya idea central es el lema que todavia usamos: ""“Sufragio Efectivo. No"
Francisco I. Madero,"bir acerca de los problemas de México, y algunos fundaron partidos politicos prepardndose pora las elecciones. Uno de ellos fue Francisco |. Made- ro, que no sélo fundé un partido, sino que viajé por todo el pais para expli- car sus ideas. Pero Diaz cambiéd de opinién en 1910 y encarcelé.a Madero, haciéndose reelegir presidente una vez mas. Se inicia la revolucién Madero pagé una fianza y salié de la carcel decidido a iniciar lo revolu- cién contra Diaz. Publicé un documen- to llamado Plan de San Luis cuya idea central es el lema que todavia usamos: ""“Sufragio Efectivo. No"
Francisco I. Madero,"Reeleccién’’. Madero hizo un llamado para que la lucha empezara el 20 de noviembre de 1910. Para abril de 1911 Porfirio Diaz ya habia renunciado, se estable- cié un nuevo gobierno y se hicieron elecciones libres, en las que triunfo Madero. Pero no habia acuerdo en un pro- blema fundamental: algunos lideres, como Emiliano Zapata, querian justicia inmediata para los campesinos, otros pensabon que con las elecciones |i- bres poco a poco se resolverian los problemas y otros mds querion un gobierno como el de Porfirio Diaz. El general Victoriano Huerta era de estos Ultimos y, con la complicidad de"
