Entidad,Contexto
Porfiriato,G he | Del Porfiriato ~ a la Revolucién exicana
Porfiriato,"dictatorial: reprimié duramente a quienes no estaban de acuerdo con él, limité la libertad de expresién y se mantuvo en la presidencia por mas de 30 afios, negandose a efectuar elecciones libres. En este bloque estudiards las caracteristicas de este gobierno y el estalli- do de la Revolucién Mexicana, la cual condujo hacia la redaccion de una nueva Constitucién que planted soluciones a muchos de los problemas del Pais. CUANDO Y DONDE PASO? > 1. Observa la linea del tiempo de este bloque ® Construccién del ferrocarril. y responde. = -Cudntas décadas duré el Porfiriato? = Francisco I. Madero es"
Porfiriato,"a Porfirioporti. Politicas, censurd a la prensa, reprimidé violenta- mente las protestas sociales, impidié que se lle- varan a cabo elecciones libres e impuso a los a gobernadores de los estados; ademas, las institu- j i ii ciones de justicia y el poder legislativo obedecian - sus Ordenes. Esta etapa de la historia de México se conoce como Porfiriato. Caricatura publicada en La Orquesta, que representa a México como una torre de Babel. Para OBSERVADORES > Observa las imagenes de este tema: zqué puedes apreciar en ellas? ¢Qué dicen los textos que las acompafian? Explicalas con tus propias palabras. En"
Porfiriato,"El Porfiriato wa Estabilidad, desarrollo economico Be e inversion extranjera En el area econdmica, Porfirio Diaz buscé atraer inversiones extranjeras, para 'o cual ofrecié a los empresarios facilidades y ventajas para hacer negocios en México. La mineria, la electricidad, el petrdleo, la construccién de ferrocarriles, la produccién de hilados y tejidos, y en general las comunicaciones (teléfonos, telégrafos, bancos, puertos) fueron las principales actividades econdmicas de la época y empresarios de Estados Unidos, Francia, Alemania y Gran Bretajia, invirtieron en ellos. Gracias a las inversiones, tanto extranjeras como nacionales, se reactivé el comercio, se esti- muld el crecimiento de las"
Porfiriato,"Hacia 1884, la inversion extranjera era de 100 millones de pesos y para finales del Porfiriato se elevé 34 veces mas y estaba repartida como se indica en el siguiente cuadro: Inversi6n extranjera en México (porcentaje por pais) Sector Estados Unidos | Gran Bretafa Francia Bancor Ferrocarriles Servicios Publicos Industria Comercio Alemania Trabajadores dela Oficina de Telégratos (ca. 1900)."
Porfiriato,"México, en él sélo se pueden usar los pies para golpear sep-Ediciones Te¢olore, 1996 (Libros del un balén; es de origen inglés y lleg6 a México Rinc6n). _ durante el Porfiriato. eS Bloque 3"
Porfiriato,"|: Repaso y aprendo > 1. Transformaciones tecnolégicas que cambiaron a) Bicicleta, cinematégrafo y camara fotografica. la vida cotidiana de la sociedad durante el 6) Ferrocarril, diligencias e industrializacién. Porfiriato. ¢) Modos de vestir, mineria y textiles, > 2. Lee el fragmento del siguiente Plan ‘Revolucionario: Se desconoce al actual Gobierno del general Diaz, ai como a todas BT eloped wert: Leskacansioartnpapeense con los elementos que el pueblo puso a su disposicién para la defensa de sus intereses, el fraude electoral més escandaloso que registra la historia de México. ~> Elige la opcién que contenga al personaje que a) Alvaro"
Porfiriato,"la cultura de México desde fines del siglo x1x a inicios del siglo xx. Describo las condiciones de vida ¢ inconformidades de los diferentes grupos sociales del Porfiriato. "" Reconozco las ideas politicas de Madero y su influencia Wiel iin de fe Révohicifn Mexicana: "" Identifico momentos del desarrollo de la lucha armada _y las propuestas de los caudillos revolucionarios. Identifico las principales garantias establecidas en la _ Constitucion de 1917, asi como nuestra forma de ""gobierno. ‘ \Fvaloro el legado que ha dejado la cultura revolucionaria en nuestro presente. ; Reconozco el legado de la influencia cultural de otros"
Revolucién,G he | Del Porfiriato ~ a la Revolucién exicana
Revolucién,"Compa de Fires Constnucealets ey See tl er cet cee ‘Avaro Obregos [ay Seagate Ae a Dorn dt Hore Francaco vite Cormpuala del Fico del Noveste BB bo concer Aa et Fjdeho Gel beracor Erkan Zapata Golfo de México > 4. En tu cuaderno, elabora y completa el siguiente cuadro. En la columna en blanco, coloca el nombre de uno o mas personajes de tu localidad 0 estado que sepas que hayan participado en la Revolucién. Personaje"
