Entidad,Contexto
Congreso,"LA DICTADURA PORFIRIANA XI. NO REELECCION Y REELECCION Porfirio Diaz Porfirio Diaz asumié de nuevo el poder el 1° de diciembre de 1884. 1. Cuatro afios antes habia dicho al Congreso: “...Jamas admitiré una candidatura de reelecci6n, aun cuando ésta no fuera prohibida por nuestro Cédigo Politico...” Pero, Presidente otra vez, no sostuvo aquellas palabras, ni jus- -tificé el hecho de haber empufiado antes las armas contra la reeleccién de Benito Juarez y la de Sebastian Lerdo de Tejada. Al contrario, para mantenerse en la Presidencia hizo que tres veces mas se reformara la Constitucién —en 1887, en 1890 y"
Presidente,"LA DICTADURA PORFIRIANA XI. NO REELECCION Y REELECCION Porfirio Diaz Porfirio Diaz asumié de nuevo el poder el 1° de diciembre de 1884. 1. Cuatro afios antes habia dicho al Congreso: “...Jamas admitiré una candidatura de reelecci6n, aun cuando ésta no fuera prohibida por nuestro Cédigo Politico...” Pero, Presidente otra vez, no sostuvo aquellas palabras, ni jus- -tificé el hecho de haber empufiado antes las armas contra la reeleccién de Benito Juarez y la de Sebastian Lerdo de Tejada. Al contrario, para mantenerse en la Presidencia hizo que tres veces mas se reformara la Constitucién —en 1887, en 1890 y"
Presidente,"en 1903—, y asi fue Presidente, contando su primer pe- riodo, por mas de treinta afos. Se hizo reelegir seis veces ponsecutivas: en 1888, en 1892, en 1896, en 1900, en 1904 y en 1910. j 2. Las reelecciones de Porfirio Diaz tuvieron muchas conse- cuencias contrarias al adelanto polftico y social de México: Primero, porque para lograr sus reelecciones, Diaz se convirtié en dictador, esto es, en gobernante sdlo sujeto a su voluntad. 47"
Presidente,"se embared con destino a Francia, en mayo de 1911, a bordo del vapor Ipiranga, y, acornpanado de su familia, se instalé en Paris, donde permaneceria hasta su muerte, que ocurrié el 2 de julio de 1915. Francisco Leon de la Barra, designado Presidente interino al renunciar Porfirio Diaz, conyocé a elecciones, Esta vez si se res- peté el voto del pueblo. Resultaron electos Francisco I. Ma- dero, como Presidente, y José Maria Pino Sudérez, comb Vice- presidente, Entonces terminé el gobierno dictatorial que Porfirio Diaz habia ejercido desde 1884, (Ejercicio niimero 59 del Cuaderno de Trabajo) Lo que debes"
Presidente,"se embared con destino a Francia, en mayo de 1911, a bordo del vapor Ipiranga, y, acornpanado de su familia, se instalé en Paris, donde permaneceria hasta su muerte, que ocurrié el 2 de julio de 1915. Francisco Leon de la Barra, designado Presidente interino al renunciar Porfirio Diaz, conyocé a elecciones, Esta vez si se res- peté el voto del pueblo. Resultaron electos Francisco I. Ma- dero, como Presidente, y José Maria Pino Sudérez, comb Vice- presidente, Entonces terminé el gobierno dictatorial que Porfirio Diaz habia ejercido desde 1884, (Ejercicio niimero 59 del Cuaderno de Trabajo) Lo que debes"
Presidente,"provocé la Revolucion, que fue acaudillada por Madero. En el Plan de San Luis Potosi, Madero proclamé el sufragio efectivo y la no reeleccién y ofrecié restituir las tierras a quienes hubiesen sido despoja- dos de ellas. 5. Después de cinco meses de lucha se firmé el convenio de Ciudad Juarez, en virtud del cual Porfirio Diaz renuncié a la Presidencia y aban- doné el pais, 6. Francisco Leon de la Barra, Presidente interino, convocé a nuevas elec- ciones. Resultaron electos Francisco I. Madero, como Presidente, y José Maria Pino Suarez, como Vicepresidente. 7 7. kintonces terminé el gobierno dictatorial"
Presidente,"provocé la Revolucion, que fue acaudillada por Madero. En el Plan de San Luis Potosi, Madero proclamé el sufragio efectivo y la no reeleccién y ofrecié restituir las tierras a quienes hubiesen sido despoja- dos de ellas. 5. Después de cinco meses de lucha se firmé el convenio de Ciudad Juarez, en virtud del cual Porfirio Diaz renuncié a la Presidencia y aban- doné el pais, 6. Francisco Leon de la Barra, Presidente interino, convocé a nuevas elec- ciones. Resultaron electos Francisco I. Madero, como Presidente, y José Maria Pino Suarez, como Vicepresidente. 7 7. kintonces terminé el gobierno dictatorial"
Presidente,"tenia fe y esperaba ver cumplidas las revolucionarias. Sin embargo, la situacién en Francisco I. Madero que el nuevo Presidente recibfa el poder no lo ayudaba a realizar desde luego lo que de él se esperaba, pues, segtin el convenio de Ciudad Juarez, todo cambio debfa hacerse dentro de la Cons- titucién, no revolucionariamente. También por el convenio, Ma- dero se habfa obligado a licenciar las tropas revolucionarias. Ocurria esto més: los enemigos de la Revolucién se preparaban 169"
Presidente,"a Porfirio Diaz que continuara siendo el Presidente indiscutible, pero que iniciara la transformacién democratica de México me- diante la libre eleccién del Vicepresidente de la Reptiblica. Como Porfirio Dfaz no acept6, Madero se puso al frente del movimien- to politico que desembocarfa en la Revolucién de 1910, Madero se singularizaba por su nobleza, su bondad y su ape- go a las virtudes efvicas. Mientras ejercié el poder, ge respe- taron todas las garantias individuales y todos los derechos del ciudadano, Bajo su gobierno, la libertad de prensa alcanzé6 Ifmi- tes desconocidos antes en México. A quienes una vez le"
Presidente,"gir al Presidente provisional tan pronto como Ja Revolucion triunfase. El 15 de julio de 1914, Victoriano Huerta comprendié que su causa estaba perdida irremisiblemente, renuncié a su puesto y, ya para abandonar el pafs, puso la situacién en manos de Francisco S. Carvajal, que hasta cinco dias antes hab{a sido magistrado de la Suprema Corte de Justicia. Carvajal quiso concertar con los revolucionarios un convenio para entregarles, mediante ciertas condiciones, los restos de poder que habfa recibido de Huerta; pero todos los caudillos a quienes se dirigié —Carranza, Obregén, Villa, Pablo Gonzalez— le con- testaron que la rendicién del"
