Entidad,Contexto
México,"MI SERVICIO A MEXICO 1. Mi patria es México. Debo servirla siempre con mi pensa- miento, con mis palabras, con mis actos. 2. México necesita y merece, para asegurar su dicha y para aumentar su grandeza, el trabajo material ¢ intelectual de sus hijos y la moralidad de todos ellos. 3. Debo ser digno, justo, generoso y dtil. Asi honraré a mi familia, a la sociedad en que vivo, a mi pais y a la humanidad. 4. Debo ser agradecido con mis padres y con mis maestros; reconocer los sacrificios que realizan para mi educacién; hacer buen uso de los"
México,"MI SERVICIO A MEXICO 1. Mi patria es México. Debo servirla siempre con mi pensa- miento, con mis palabras, con mis actos. 2. México necesita y merece, para asegurar su dicha y para aumentar su grandeza, el trabajo material ¢ intelectual de sus hijos y la moralidad de todos ellos. 3. Debo ser digno, justo, generoso y dtil. Asi honraré a mi familia, a la sociedad en que vivo, a mi pais y a la humanidad. 4. Debo ser agradecido con mis padres y con mis maestros; reconocer los sacrificios que realizan para mi educacién; hacer buen uso de los"
México,"I, México a principios del presente siglo. Habran ustedes oido referir, a sus padres © a sus abuelos, cémo se vivia en nuestra patria hace algunos afios. Vedmoslo aqui nosotros. A principios del presente siglo gobernaba a México don Porfirio Diaz. Su voluntad era la ley suprema. Ocupaban los puestos piibli- cos las personas que escogia él. No habia democracia, Las mejores tierras estaban en manos de gente rica que, por lo general, no vivia en el campo, sino en las ciudades, y siempre con lujo. En las tierras explotadas asi —se lla- maban haciendas— los peones trabajaban de sol"
México,"I, México a principios del presente siglo. Habran ustedes oido referir, a sus padres © a sus abuelos, cémo se vivia en nuestra patria hace algunos afios. Vedmoslo aqui nosotros. A principios del presente siglo gobernaba a México don Porfirio Diaz. Su voluntad era la ley suprema. Ocupaban los puestos piibli- cos las personas que escogia él. No habia democracia, Las mejores tierras estaban en manos de gente rica que, por lo general, no vivia en el campo, sino en las ciudades, y siempre con lujo. En las tierras explotadas asi —se lla- maban haciendas— los peones trabajaban de sol"
México,"RESUMEN: Don Venustiano Carranza se puso al frente de la Revolucién en 1913 para reconquistar la libertad del pueblo mexicano. La Constitucién que nos rige ac- tualmente fue promulgada el 5 de febrero de 1917. La Constitucién es la ley suprema del pafs y debe ser obedecida tanto por el pueblo como por el gobierno. México tiene un gobierno demo- cratico, pues elige libremente a sus gobernantes."
México,"V.EI progreso de México. Debemos sentirnos satisfechos al advertir que México es actualmente uno de los pafses mAs progresistas de América. cA qué se debe este progreso de nuestra patria? Se debe a que los gobiernos de la Revolucién se han preocupado, cada vez mAs, por conseguir el bien de todo el pueblo, El actual Presidente GUSTAVO DIAZ ORDAZ Constitucional de la Reptiblica Me- xicana es don Gustavo Diaz Ordaz. SALUBRIDAD Gracias a las mejoras en la higiene ptiblica, México ha logrado des- terrar muchas enfermedades que antes hacian innumerables victimas, entre ellas el paludismo, EDUCACION Habrdas notado que cada"
México,"V.EI progreso de México. Debemos sentirnos satisfechos al advertir que México es actualmente uno de los pafses mAs progresistas de América. cA qué se debe este progreso de nuestra patria? Se debe a que los gobiernos de la Revolucién se han preocupado, cada vez mAs, por conseguir el bien de todo el pueblo, El actual Presidente GUSTAVO DIAZ ORDAZ Constitucional de la Reptiblica Me- xicana es don Gustavo Diaz Ordaz. SALUBRIDAD Gracias a las mejoras en la higiene ptiblica, México ha logrado des- terrar muchas enfermedades que antes hacian innumerables victimas, entre ellas el paludismo, EDUCACION Habrdas notado que cada"
México,"V.EI progreso de México. Debemos sentirnos satisfechos al advertir que México es actualmente uno de los pafses mAs progresistas de América. cA qué se debe este progreso de nuestra patria? Se debe a que los gobiernos de la Revolucién se han preocupado, cada vez mAs, por conseguir el bien de todo el pueblo, El actual Presidente GUSTAVO DIAZ ORDAZ Constitucional de la Reptiblica Me- xicana es don Gustavo Diaz Ordaz. SALUBRIDAD Gracias a las mejoras en la higiene ptiblica, México ha logrado des- terrar muchas enfermedades que antes hacian innumerables victimas, entre ellas el paludismo, EDUCACION Habrdas notado que cada"
Libros de Texto Gratutto,de responsabilidad. (Principios de conducta formuladas por la Secretaria de Salubridad y Asistencia para que se les inserte en los Libros de Texto Gratuttos.
Porfirio Diaz,"I, México a principios del presente siglo. Habran ustedes oido referir, a sus padres © a sus abuelos, cémo se vivia en nuestra patria hace algunos afios. Vedmoslo aqui nosotros. A principios del presente siglo gobernaba a México don Porfirio Diaz. Su voluntad era la ley suprema. Ocupaban los puestos piibli- cos las personas que escogia él. No habia democracia, Las mejores tierras estaban en manos de gente rica que, por lo general, no vivia en el campo, sino en las ciudades, y siempre con lujo. En las tierras explotadas asi —se lla- maban haciendas— los peones trabajaban de sol"
Porfirio Diaz,"IV. Derechos de los obreros y de los campesinos. La Revolucién Mexicana ha hecho justicia a los obreros y a los campesinos, tan injustamente tratados durante el gobierno dictatorial de Porfirio Diaz. El Artfculo 123 de la Constitucién asegura a los obreros mexicanos los siguientes beneficios: Salario justo, Derechos de reunién, de peticién y de huelga. Seguro Social. Indemnizacién en caso de accidente. Vacaciones anuales pagadas. 4"
Maestro don Justo Sierra,"ensafiaban en el pueblo, sobre todo en los nifios. Muchos de éstos morian en los pri- meros meses 0 afios de su vida. Habfa pocos hospitales. Mas de las dos terceras partes del pueblo mexicano ignoraban en- tonces los beneficios de la instruccién. A pesar de los esfuerzos de un mexicano eminente —el Maestro don Justo Sierra— eran pocas las escuelas y pocos los que sabian leer y escribir. RESUMEN: Don Porfirio Diaz goberné como dictador durante cerca de treinta afios. Los ricos hacendados eran due- fios de las mejores ticrras y paga- ban salarios miseros a los peones, que"
Porfirio Diaz,"ensafiaban en el pueblo, sobre todo en los nifios. Muchos de éstos morian en los pri- meros meses 0 afios de su vida. Habfa pocos hospitales. Mas de las dos terceras partes del pueblo mexicano ignoraban en- tonces los beneficios de la instruccién. A pesar de los esfuerzos de un mexicano eminente —el Maestro don Justo Sierra— eran pocas las escuelas y pocos los que sabian leer y escribir. RESUMEN: Don Porfirio Diaz goberné como dictador durante cerca de treinta afios. Los ricos hacendados eran due- fios de las mejores ticrras y paga- ban salarios miseros a los peones, que"
Francisco I. Madero,"II. Francisco I. Madero. En vista de los sufrimientos del pueblo, muchos buenos mexicanos hicieron oir su voz en defensa de los débiles y en demanda de dere- chos cfivicos para todos. El] Presidente no hizo caso. En- diogado por cuantos lo rodeaban, salvo excepciones contadisimas, se reeligié por séptima vez, para con- tinuar sus métodos de gobierno. Entonces don Francisco I. Ma- dero promovié y encabezé la Re- volucié6n Mexicana, convocando a todo el pueblo para que el 20 de noviembre de 1910 se levantara en armas contra el dictador. Seis meses duré la lucha san- grienta; la voluntad"
