Entidad,Contexto
México,"'MI SERVICIO A MEXICO 1. Mi patria es México. Debo servirla siempre con mi pensamiento, con mis palabras, con mis actos. 2. México necesita y merece, para asegurar su dicha y para aumen- tar su grandeza, el trabajo material ¢ intelectual de sus hijos y la mo- ralidad de todos ellos. 3. Debo ser digno, justo, generoso y iitil. Asi honraré a mi familia, a la sociedad en que vivo, a mi pais y a la humanidad. 4. Debo ser agradecido con mis padres y con mis maestros; reco- nocer los sacrificios que realizan para mi preparacién; hacer buen uso"
México,"'MI SERVICIO A MEXICO 1. Mi patria es México. Debo servirla siempre con mi pensamiento, con mis palabras, con mis actos. 2. México necesita y merece, para asegurar su dicha y para aumen- tar su grandeza, el trabajo material ¢ intelectual de sus hijos y la mo- ralidad de todos ellos. 3. Debo ser digno, justo, generoso y iitil. Asi honraré a mi familia, a la sociedad en que vivo, a mi pais y a la humanidad. 4. Debo ser agradecido con mis padres y con mis maestros; reco- nocer los sacrificios que realizan para mi preparacién; hacer buen uso"
México,"'MI SERVICIO A MEXICO 1. Mi patria es México. Debo servirla siempre con mi pensamiento, con mis palabras, con mis actos. 2. México necesita y merece, para asegurar su dicha y para aumen- tar su grandeza, el trabajo material ¢ intelectual de sus hijos y la mo- ralidad de todos ellos. 3. Debo ser digno, justo, generoso y iitil. Asi honraré a mi familia, a la sociedad en que vivo, a mi pais y a la humanidad. 4. Debo ser agradecido con mis padres y con mis maestros; reco- nocer los sacrificios que realizan para mi preparacién; hacer buen uso"
México,"OBRA DE LA REVOLUCION MEXICANA I. México a principios del presente siglo Habrin ustedes ofdo referir, a sus padres 0 a sus abuclos, como se vivia en nuestra patria hace algunos anos. Veadmoslo aqui nosotros. A principios del presente siglo gohernaba a México don Porfirio Diaz. Su voluntad era la ley suprema. Ocupaban los puestos publi- cos las personas que escogia él. No habia democracia. Las mejores tierras estaban en manos de gente rica que, por lo general, no vivia en el campo, sino en las ciudades, y siempre con lujo. En las tierras explotadas asi —se lla- maban haciendas—"
México,"OBRA DE LA REVOLUCION MEXICANA I. México a principios del presente siglo Habrin ustedes ofdo referir, a sus padres 0 a sus abuclos, como se vivia en nuestra patria hace algunos anos. Veadmoslo aqui nosotros. A principios del presente siglo gohernaba a México don Porfirio Diaz. Su voluntad era la ley suprema. Ocupaban los puestos publi- cos las personas que escogia él. No habia democracia. Las mejores tierras estaban en manos de gente rica que, por lo general, no vivia en el campo, sino en las ciudades, y siempre con lujo. En las tierras explotadas asi —se lla- maban haciendas—"
México,"RESUMEN: Don Venustiano Carranza se puso al frente de la Revolucion en 1913 para reconquistar la libertad del puéblo texicano. La Constitucién que nos rige ac- tualmente fue promulgada el 5 de febrero de 1917 La Gonstitueién es la ley suprema del pais y debe ser obedecida tanto por él pueblo como por el gobierno. México tiéhe un gobierno demo- eratico, pues clige libremente a Sus gobérnantes"
Secretaria de Satubridad ',y de sentido de responsabilidad. (Principios de conducta formulndos por la Secretaria de Satubridad 'y Asustencia para que se les inserte en los Libros de Texto Gratuitos.) 2
Asustencia,y de sentido de responsabilidad. (Principios de conducta formulndos por la Secretaria de Satubridad 'y Asustencia para que se les inserte en los Libros de Texto Gratuitos.) 2
Libros de Texto Gra,y de sentido de responsabilidad. (Principios de conducta formulndos por la Secretaria de Satubridad 'y Asustencia para que se les inserte en los Libros de Texto Gratuitos.) 2
Revolución Mexicana,"OBRA DE LA REVOLUCION MEXICANA I. México a principios del presente siglo Habrin ustedes ofdo referir, a sus padres 0 a sus abuclos, como se vivia en nuestra patria hace algunos anos. Veadmoslo aqui nosotros. A principios del presente siglo gohernaba a México don Porfirio Diaz. Su voluntad era la ley suprema. Ocupaban los puestos publi- cos las personas que escogia él. No habia democracia. Las mejores tierras estaban en manos de gente rica que, por lo general, no vivia en el campo, sino en las ciudades, y siempre con lujo. En las tierras explotadas asi —se lla- maban haciendas—"
Porfirio Diaz,"OBRA DE LA REVOLUCION MEXICANA I. México a principios del presente siglo Habrin ustedes ofdo referir, a sus padres 0 a sus abuclos, como se vivia en nuestra patria hace algunos anos. Veadmoslo aqui nosotros. A principios del presente siglo gohernaba a México don Porfirio Diaz. Su voluntad era la ley suprema. Ocupaban los puestos publi- cos las personas que escogia él. No habia democracia. Las mejores tierras estaban en manos de gente rica que, por lo general, no vivia en el campo, sino en las ciudades, y siempre con lujo. En las tierras explotadas asi —se lla- maban haciendas—"
