Entidad,Contexto
La criolla de la mantilla,"El Porf del pueblo y con alegorias de la mexicanidad, como La criolla de la mantilla, de 1917 (arriba); José Guadalupe Posada reflejé en vigorosos grabados costumbres y tradiciones (en este recuadro puedes ver la famosa Calavera Catrina). Estos tres artistas marcaron nuevos rumbos para el arte mexicano, fiato LECCION 16"
1917,"El Porf del pueblo y con alegorias de la mexicanidad, como La criolla de la mantilla, de 1917 (arriba); José Guadalupe Posada reflejé en vigorosos grabados costumbres y tradiciones (en este recuadro puedes ver la famosa Calavera Catrina). Estos tres artistas marcaron nuevos rumbos para el arte mexicano, fiato LECCION 16"
1917,"Articulo 123 establece que la duracion del trabajo diario no debe ser de mas de ocho horas (antes eran de doce a quince), y que debe haber un dia de descanso obliga- torio a la semana. Prohibe que !as mujeres y los nifos se ocupen de labores inadecuadas Para su sexo y su edad. Reconoce que los trabajadores tienen derecho a formar sindi- catos (asociaciones para defenderse) y a hacer huelgas (suspender las labores para Presionar a los patrones cuando se presen- tan conflictos de trabajo). La Constituci6n de 1917 es la que nos rige. Muchas veces ha sido reformada,"
José Guadalupe Posada,"El Porf del pueblo y con alegorias de la mexicanidad, como La criolla de la mantilla, de 1917 (arriba); José Guadalupe Posada reflejé en vigorosos grabados costumbres y tradiciones (en este recuadro puedes ver la famosa Calavera Catrina). Estos tres artistas marcaron nuevos rumbos para el arte mexicano, fiato LECCION 16"
Calavera Catrina,"El Porf del pueblo y con alegorias de la mexicanidad, como La criolla de la mantilla, de 1917 (arriba); José Guadalupe Posada reflejé en vigorosos grabados costumbres y tradiciones (en este recuadro puedes ver la famosa Calavera Catrina). Estos tres artistas marcaron nuevos rumbos para el arte mexicano, fiato LECCION 16"
México,"115 de julio de 1867, la capital de México recibid con jubilo a Juarez, que regresa- ba triunfante. Con su victoria se aflanzaba la Replica, que habia sido atacada por el imperio de Maximiliano. A la.época que va de 1867 a 1876, en que se afirmo el gobierno republicano, se le llama la Republica Restaurada. En realidad, el gobierno de Juarez logr6 que la Republi- ca no desapareciera nunca. Con su triunfo, y gracias al respeto que su gobierno tuvo por la Constituci6n y por las leyes, se con- v 1868 v 1871 Pas de contra de Benito J solid6"
México,de México a Veracruz. Fue construida con capital inglés y tardé quince afios en terminarse. Mapa del de ferrocarril entre México y Veracruz. Litografia de la época. v 1872 v 1873
México,de México a Veracruz. Fue construida con capital inglés y tardé quince afios en terminarse. Mapa del de ferrocarril entre México y Veracruz. Litografia de la época. v 1872 v 1873
México,"Sin embargo, consiguieron promulgar leyes que fortalecieron la educaci6n pubii- ca, y multiplicar las escuelas que el gobier- no sostenia para los nifos. Lo paz porfirista Juarez fue presidente de México desde 1858 hasta su muerte, en 1872. El afio anterior habia sido reelecto, y el general Porfirio Diaz se levant6 en armas para protestar, pero fue derrotado. Unos meses después, al morir Juarez, de acuerdo con las leyes asumi6o la presidencia de la Republica Se- bastian Lerdo de Tejada, que era presidente de la Suprema Corte de Justicia. Cuatro afos mas tarde, Lerdo de Tejada busco ree- legirse y"
México,"1s Eee ona Ses ramiiones Visca el cine, las bicicletas y los automéviles fueron novedades que Ilegaron en los dltimos aios del siglo XIX. Las desventajas, que quiza hoy parezcan insignificantes, no escapees se eh lo Jack Gaaghops ha ea cae Gi los grabados de esta pagina. se trazaron hacia los puertos mas Impor- tantes y hacia la frontera con los Estados Unidos, para facilitar el intercambio comer- cial con aquel pais. Al mismo tiempo, au- mentaron la circulacion de productos entre distintas regiones de México, y sirvieron como medio de control politico y militar. El correo y los telégrafos"
México,"se extendieron por el territorio nacional. Se fundaron aigu- nos bancos, el gobierno puso en orden sus finanzas, comenz6 a cobrar impuestos re- v 1888 v 1890 gularmente, y liego a pagar las deudas del Pais. Esto permitio el progreso de Ia agricultu- ra, el comercio, la mine- ria y la industria: sobre todo la cervecera, la ta- bacalera, la vidriera y la textil. México tuvo un creci- miento econdomico nun- ca visto. Pero el desarro- llo favorecio desproporcionadamente a los pocos mexicanos y extranjeros que tenian dinero para invertir. Extensiones enormes de tierras deshabitadas fueron compradas por esa poca"
México,"transporte se hacian cargo los arrieros, con sus recuas de mulas. Para ir del centro de México a los Estados Unidos habia que via- Jar por barco, de Veracruz a Houston 0 a Nueva Orleans. También se llegaba por mar a Yucatan. Durante el Porfiriato, los ferrocarriles y el telégrafo transformaron la vida. Los viajes resultaron mas rapidos, comodos y seguros; los mensajes llegaron en menos tiempo. Logré ampliarse notablemente ta educa- cion publica; cada vez mas gente pudo es- tudiar alguna carrera y empez6 a surgir en las cludades una clase media de profesio- nistas y burécratas. Mucha mas"
México,"esclavos, por el trato que les daban. Un grupo de historiadores publicd Méxi- co a través de los siglos; otro grupo escribio México y su evolucion social. Justo Sierra Inauguro la Universidad Nacional. Los musicos crearon composiciones con hondas raices populares. Hubo grandes no- velistas, poetas, cronistas y cuentistas. En los Ultimos afos del gobierno de Diaz un grupo de muchachos briliantes y estudio- sos formaron en la Ciudad de México el Ate- neo de la Juventud, que busco libertad y nuevos caminos para el pensamiento y para la creacion artistica. A fines del Porfiriato se vivia en un clima"
México,"creciente desi- Qualdad y del clima de injusticia que se vivia, el problema mas grave fue que no habia oportunidad para que quienes deseaban participar en ja politica pudieran hacerlo. Diaz se acercaba a los ochenta afios y era natural pensar que pronto tendria que ser reemplazado. El dictador no facilito la suce- sion. En 1908, el periodista norteamericano James Creeiman lo entrevisto. Diaz le dijo que México ya estaba preparado para tener elec- ciones libres. La noticia lend de optimismo a muchos, que comenzaron a organizarse para participar en las elecciones de 1910. Surgie- ron partidos politicos, y se"
México,"do gobierno y expresd su deseo de aban- | donar el poder. El texto que sigue es parte ' de esa entrevista: 4 i Es un error suponer que el futuro'de la shed democracia en México ha sido puesto if en peligro por la prolongada perma- nencia en el poder de un solo presi- il dente —dijo el gobernante en voz baja. Puedo dejar la presidencia de Méxi- ' co sin ningtin remordimiento, pero lo a] que no puedo hacer es dejar de servir a ‘et este pais mientras viva. Recibi este go- bierno de manos de un ejército victorio-"
México,"Gnuzd los brazos sobre él ancho pecho y hablo con énfasis: Doy la bienvenida a cualquier parti- do oposicionista. Si apare: raré como una bendicion. Y si llega a ha- cerse fuerte, no para explotar sino para gobernar, lo sostendré y aconsejaré, y me olvidaré de mi mismo en la yictorio- $a inauguracion de un gobierno total- mente democratico en ‘mi pais, El ferrocarril ha desempenado un papel importante en la paz de México. Cuando yo llegué a presidente, habia unicamente dos lineas pequefias; una que conectaba la capital con Veracruz, la otra con Querétaro. Hoy dia tenemos mas de"
México,"Francisco I. Madero. orfirio Diaz fue presi- dente de México por treinta y un afos. Madero consideraba que Porfirio Diaz no debe- ria volver a reelegirse. Durante ese tlempo, Junto con otras personas un pequeno grupo de que pensaban como él, personas acaparo el poder; el pueblo no fundo el Partido Antirreeleccionista, que !o pudo opinar sobre sus problemas ni elegir a lanz6 como candidato a la presidencia de la sus gobernantes. Mientras tanto, surgié Republica. Después viaj6 por el pais para una nueva generacion que queria participar dar a conocer sus ideas politicas. €n la politica y que no"
México,"podia hacerlo porque todos los puestos estaban ya ocupados por hombres mucho mas viejos. El Plan de San Luis Potosi Cuando Diaz afirm6 que México se en- } contraba maduro para la democracia, esos Madero creia en la democracia y en la nece- jOvenes creyeron que habia llegado el mo- sidad de renovar el gobierno con apego a mento de participar. Uno de ellos fue Francisco |. Madero. Miembro de & una familia adinerada, habia estudia- do y viajado fuera de México. Sin em- bargo, sabia que muchos mexicanos vivian en la pobreza y estaba preocu- pado por los problemas"
México,"podia hacerlo porque todos los puestos estaban ya ocupados por hombres mucho mas viejos. El Plan de San Luis Potosi Cuando Diaz afirm6 que México se en- } contraba maduro para la democracia, esos Madero creia en la democracia y en la nece- jOvenes creyeron que habia llegado el mo- sidad de renovar el gobierno con apego a mento de participar. Uno de ellos fue Francisco |. Madero. Miembro de & una familia adinerada, habia estudia- do y viajado fuera de México. Sin em- bargo, sabia que muchos mexicanos vivian en la pobreza y estaba preocu- pado por los problemas"
México,"nacionales. Queria participar en el gobierno de su pais y decidi6 entrar en la politica. } a Manifestacién antirreeleccionist en la Ciudad de México, 1910. Francisco I. Madero se hizo muy popular y desperté grandes esperanzas de cambio. Su campafia contribuyé a que mucha gente deseara participar en las elecciones de 1910. | wi9i0 MAYO . SEPTIEMBRE © Creacion de la * Celebracién del Universidad d Centenario de Nacional SN ta tadependencia de México"
México,"electos Francisco |. Madero como presiden- te, y José Maria Pino Suarez, como vicepre- sidente. Madero asumio la presidencia en no- viembre de 1911. Porfirio Diaz habia dejado México, pero eso no solucionaba los pro- blemas dei pais. La riqueza seguia estando concentrada en manos de muy poca gente; continuaban las Injusticias en el campo y también en las ciudades. ee | zarse para exigir mejores condiciones de trabajo cuando fuera necesario. Madero quiso vencer todas esas dificul- tades apegandose a la ley, aunque el cam- blo fuera lento. Pero algunos de sus anti- guos partidarios no tenian tanta paciencia."
México,"Zapata se rebeld contra él en Morelos vein- te dias después de que Madero ocupo la presidencia, y Pascual Orozco hizo lo mismo en Chihuahua, a principios de 1912. frida Vis darts Los campesi- Madero encargo las operaciones contra las primeras campatias nos deseaban que Orozco al general Victoriano Huerta, que en ailitares. les devolvieran unos meses derroto a los orozquistas. sus tlerras, y los obreros mejores salarios, un tiem- po de trabajo dia- rio mas corto y el derecho a organi- Las companias extranjeras instaladas en México no querian perder los privilegios que les habla concedido Porfirio Diaz; asi"
